batch_id,start_id,end_id,n_examples,primary_variable_id,primary_variable,construction_index,construction_family,repetition,language,language_name,domains,short_count,medium_count,long_count
64,3151,3200,50,27,mirativity_stance_and_affect_marking,2,exclamative_surprise,11,tr,Turkish,food_household;sports_recreation;workplace,15,25,10
65,3201,3250,50,40,orthographic_and_tokenization_interface,5,alphanumeric_hashtag_or_filename_like_token,11,en,English,education;food_household;sports_recreation,15,25,10
66,3251,3300,50,10,morphological_segmentation_type,1,agglutinative_multi_affix_word,2,fi,Finnish,news_public_affairs;family_relationships;science_technology,15,25,10
67,3301,3350,50,15,number_marking,3,numeral_plus_number_morphology,7,ar,Arabic,arts_culture;social_interaction;health,15,25,10
68,3351,3400,50,13,redundancy_cumulative_exponence,4,negative_concord,15,en,English,family_relationships;science_technology;nature_environment,15,25,10
69,3401,3450,50,31,subordination_and_embedding,2,relative_clause,5,ja,Japanese,health;news_public_affairs;family_relationships,15,25,10
70,3451,3500,50,2,basic_constituent_order,4,verb_initial_or_predicate_initial_order,5,ja,Japanese,education;food_household;sports_recreation,15,25,10
71,3501,3550,50,8,causativity_and_valency_change,4,double_or_indirect_causation,13,ko,Korean,food_household;sports_recreation;workplace,15,25,10
72,3551,3600,50,10,morphological_segmentation_type,1,agglutinative_multi_affix_word,3,ru,Russian,social_interaction;health;news_public_affairs,15,25,10
73,3601,3650,50,13,redundancy_cumulative_exponence,2,case_plus_adposition,8,fr,French,sports_recreation;workplace;travel_transport,15,25,10
74,3651,3700,50,5,morphosyntactic_alignment,2,intransitive_subject_alignment,15,ru,Russian,education;food_household;sports_recreation,15,25,10
75,3701,3750,50,23,aspect_and_event_structure,5,inchoative_or_resultative_event,6,ru,Russian,workplace;travel_transport;arts_culture,15,25,10
76,3751,3800,50,34,topic_comment_structure,3,marked_topicalization,3,zh,Chinese,travel_transport;arts_culture;social_interaction,15,25,10
77,3801,3850,50,33,discourse_relation_marking,1,causal_relation,2,de,German,social_interaction;health;news_public_affairs,15,25,10
78,3851,3900,50,9,analytic_vs_synthetic_encoding,2,synthetic_inflection,3,de,German,arts_culture;social_interaction;health,15,25,10
79,3901,3950,50,19,inclusive_exclusive_distinction,2,exclusive_we_reference,12,te,Telugu,nature_environment;daily_life;education,15,25,10
80,3951,4000,50,35,focus_and_given_new_marking,4,exclusive_only_focus,7,fr,French,arts_culture;social_interaction;health,15,25,10
81,4001,4050,50,15,number_marking,1,singular_plural_nominal,4,tr,Turkish,workplace;travel_transport;arts_culture,15,25,10
82,4051,4100,50,14,definiteness_and_specificity,4,specific_indefinite_reference,4,tr,Turkish,science_technology;nature_environment;daily_life,15,25,10
83,4101,4150,50,21,possession_and_alienability,5,existential_or_predicative_possession,6,tr,Turkish,social_interaction;health;news_public_affairs,15,25,10
84,4151,4200,50,5,morphosyntactic_alignment,1,transitive_agent_patient_alignment,8,ur,Urdu,science_technology;nature_environment;daily_life,15,25,10
85,4201,4250,50,11,agreement_indexing_density,2,rich_person_number_agreement,12,es,Spanish,science_technology;nature_environment;daily_life,15,25,10
86,4251,4300,50,23,aspect_and_event_structure,5,inchoative_or_resultative_event,7,es,Spanish,food_household;sports_recreation;workplace,15,25,10
87,4301,4350,50,26,evidentiality,5,hearsay_or_attributed_evidence,13,en,English,travel_transport;arts_culture;social_interaction,15,25,10
88,4351,4400,50,6,transitivity_valency,5,valency_reduction_or_argument_omission,1,en,English,social_interaction;health;news_public_affairs,15,25,10
89,4401,4450,50,10,morphological_segmentation_type,5,derivation_plus_inflection,14,es,Spanish,education;food_household;sports_recreation,15,25,10
90,4451,4500,50,12,optionality_vs_obligatoriness_of_marking,3,optional_complementizer_context,2,es,Spanish,education;food_household;sports_recreation,15,25,10
91,4501,4550,50,35,focus_and_given_new_marking,5,wh_or_answer_focus_context,4,de,German,sports_recreation;workplace;travel_transport,15,25,10
92,4551,4600,50,29,quantifier_scope_and_distributivity,4,negation_quantifier_scope,13,es,Spanish,sports_recreation;workplace;travel_transport,15,25,10
93,4601,4650,50,30,conditional_and_counterfactual_marking,3,past_counterfactual,10,tr,Turkish,family_relationships;science_technology;nature_environment,15,25,10
94,4651,4700,50,9,analytic_vs_synthetic_encoding,3,periphrastic_modality,2,tr,Turkish,nature_environment;daily_life;education,15,25,10
95,4701,4750,50,9,analytic_vs_synthetic_encoding,1,analytic_tense_aspect,12,tr,Turkish,family_relationships;science_technology;nature_environment,15,25,10
96,4751,4800,50,8,causativity_and_valency_change,3,lexical_causative,9,hi,Hindi,arts_culture;social_interaction;health,15,25,10
97,4801,4850,50,3,nominal_modifier_order,2,possessor_head_order,6,en,English,news_public_affairs;family_relationships;science_technology,15,25,10
98,4851,4900,50,8,causativity_and_valency_change,4,double_or_indirect_causation,2,ja,Japanese,science_technology;nature_environment;daily_life,15,25,10
99,4901,4950,50,32,quotation_and_reported_speech_structure,5,mixed_or_shifted_report_structure,4,de,German,education;food_household;sports_recreation,15,25,10
100,4951,5000,50,11,agreement_indexing_density,5,multi_argument_indexing,7,es,Spanish,social_interaction;health;news_public_affairs,15,25,10
101,5001,5050,50,24,modality_and_mood,3,deontic_obligation,3,en,English,social_interaction;health;news_public_affairs,15,25,10
102,5051,5100,50,27,mirativity_stance_and_affect_marking,1,mirative_particle_or_form,13,ko,Korean,social_interaction;health;news_public_affairs,15,25,10
103,5101,5150,50,31,subordination_and_embedding,1,finite_complement_clause,10,ja,Japanese,social_interaction;health;news_public_affairs,15,25,10
104,5151,5200,50,6,transitivity_valency,1,intransitive_clause,6,en,English,social_interaction;health;news_public_affairs,15,25,10
105,5201,5250,50,30,conditional_and_counterfactual_marking,3,past_counterfactual,6,en,English,travel_transport;arts_culture;social_interaction,15,25,10
106,5251,5300,50,39,deixis_and_perspective_anchoring,1,proximal_distal_demonstrative,10,zh,Chinese,health;news_public_affairs;family_relationships,15,25,10
107,5301,5350,50,17,animacy_and_humanness,3,animacy_sensitive_object_marking,1,es,Spanish,food_household;sports_recreation;workplace,15,25,10
108,5351,5400,50,4,case_marking,4,locative_ablative_or_instrumental,2,fi,Finnish,workplace;travel_transport;arts_culture,15,25,10
109,5401,5450,50,25,epistemic_modality,5,epistemic_auxiliary_or_particle,11,en,English,workplace;travel_transport;arts_culture,15,25,10
110,5451,5500,50,23,aspect_and_event_structure,4,telic_atelic_contrast,8,en,English,news_public_affairs;family_relationships;science_technology,15,25,10
111,5501,5550,50,5,morphosyntactic_alignment,4,experiencer_or_dative_subject,2,hi,Hindi,news_public_affairs;family_relationships;science_technology,15,25,10
112,5551,5600,50,13,redundancy_cumulative_exponence,3,gender_number_across_phrase,9,tr,Turkish,travel_transport;arts_culture;social_interaction,15,25,10
113,5601,5650,50,40,orthographic_and_tokenization_interface,5,alphanumeric_hashtag_or_filename_like_token,15,zh,Chinese,arts_culture;social_interaction;health,15,25,10
114,5651,5700,50,14,definiteness_and_specificity,4,specific_indefinite_reference,6,en,English,social_interaction;health;news_public_affairs,15,25,10
115,5701,5750,50,6,transitivity_valency,1,intransitive_clause,9,de,German,education;food_household;sports_recreation,15,25,10
116,5751,5800,50,6,transitivity_valency,5,valency_reduction_or_argument_omission,15,ru,Russian,travel_transport;arts_culture;social_interaction,15,25,10
117,5801,5850,50,33,discourse_relation_marking,2,contrastive_relation,7,de,German,education;food_household;sports_recreation,15,25,10
118,5851,5900,50,21,possession_and_alienability,4,genitive_or_possessive_marker,15,hi,Hindi,science_technology;nature_environment;daily_life,15,25,10
119,5901,5950,50,11,agreement_indexing_density,4,multiple_agreement_targets,12,es,Spanish,arts_culture;social_interaction;health,15,25,10
120,5951,6000,50,25,epistemic_modality,3,inferential_epistemic,2,de,German,education;food_household;sports_recreation,15,25,10
121,6001,6050,50,30,conditional_and_counterfactual_marking,3,past_counterfactual,2,es,Spanish,daily_life;education;food_household,15,25,10
122,6051,6100,50,23,aspect_and_event_structure,1,progressive_or_imperfective,2,es,Spanish,news_public_affairs;family_relationships;science_technology,15,25,10
123,6101,6150,50,18,person_marking_and_person_hierarchy,4,person_sensitive_argument_marking,11,es,Spanish,workplace;travel_transport;arts_culture,15,25,10
124,6151,6200,50,11,agreement_indexing_density,1,subject_verb_agreement,12,es,Spanish,social_interaction;health;news_public_affairs,15,25,10
125,6201,6250,50,40,orthographic_and_tokenization_interface,2,apostrophe_or_clitic_orthography,15,zh,Chinese,social_interaction;health;news_public_affairs,15,25,10
126,6251,6300,50,16,gender_noun_class,2,article_gender_agreement,15,hi,Hindi,workplace;travel_transport;arts_culture,15,25,10
127,6301,6350,50,10,morphological_segmentation_type,4,productive_compounding,5,de,German,food_household;sports_recreation;workplace,15,25,10
128,6351,6400,50,37,social_deixis_honorifics_status_encoding,2,honorific_title_or_address,4,de,German,education;food_household;sports_recreation,15,25,10
129,6401,6450,50,2,basic_constituent_order,3,verb_final_order,9,ar,Arabic,food_household;sports_recreation;workplace,15,25,10
130,6451,6500,50,22,tense_prominence,2,perfect_or_anterior_tense,7,es,Spanish,science_technology;nature_environment;daily_life,15,25,10
131,6501,6550,50,20,pronoun_richness_and_reduction,3,clitic_pronoun,5,en,English,news_public_affairs;family_relationships;science_technology,15,25,10
132,6551,6600,50,10,morphological_segmentation_type,5,derivation_plus_inflection,9,es,Spanish,science_technology;nature_environment;daily_life,15,25,10
133,6601,6650,50,20,pronoun_richness_and_reduction,4,weak_vs_strong_pronoun,14,tr,Turkish,health;news_public_affairs;family_relationships,15,25,10
134,6651,6700,50,15,number_marking,5,number_agreement,12,ar,Arabic,workplace;travel_transport;arts_culture,15,25,10
135,6701,6750,50,37,social_deixis_honorifics_status_encoding,1,tu_vous_or_t_v_distinction,7,ko,Korean,workplace;travel_transport;arts_culture,15,25,10
136,6751,6800,50,8,causativity_and_valency_change,1,morphological_causative,5,en,English,arts_culture;social_interaction;health,15,25,10
137,6801,6850,50,17,animacy_and_humanness,3,animacy_sensitive_object_marking,5,tr,Turkish,social_interaction;health;news_public_affairs,15,25,10
138,6851,6900,50,9,analytic_vs_synthetic_encoding,2,synthetic_inflection,7,tr,Turkish,science_technology;nature_environment;daily_life,15,25,10
139,6901,6950,50,5,morphosyntactic_alignment,3,ergative_perfective_alignment,11,eu,Basque,daily_life;education;food_household,15,25,10
140,6951,7000,50,1,subject_expression_pro_drop,1,overt_vs_null_subject,7,es,Spanish,arts_culture;social_interaction;health,15,25,10
141,7001,7050,50,13,redundancy_cumulative_exponence,1,agreement_redundancy,2,ru,Russian,science_technology;nature_environment;daily_life,15,25,10
142,7051,7100,50,34,topic_comment_structure,4,hanging_topic,7,ko,Korean,education;food_household;sports_recreation,15,25,10
143,7101,7150,50,38,speech_act_force_and_request_directness,5,mitigated_or_polite_request,12,de,German,food_household;sports_recreation;workplace,15,25,10
144,7151,7200,50,8,causativity_and_valency_change,3,lexical_causative,1,tr,Turkish,news_public_affairs;family_relationships;science_technology,15,25,10
145,7201,7250,50,40,orthographic_and_tokenization_interface,5,alphanumeric_hashtag_or_filename_like_token,14,tr,Turkish,health;news_public_affairs;family_relationships,15,25,10
146,7251,7300,50,17,animacy_and_humanness,2,human_nonhuman_reference,5,tr,Turkish,sports_recreation;workplace;travel_transport,15,25,10
147,7301,7350,50,40,orthographic_and_tokenization_interface,3,script_specific_word_segmentation,5,zh,Chinese,travel_transport;arts_culture;social_interaction,15,25,10
148,7351,7400,50,28,negation_and_polarity_structure,2,negative_concord,4,ru,Russian,health;news_public_affairs;family_relationships,15,25,10
149,7401,7450,50,35,focus_and_given_new_marking,2,focus_particle,3,es,Spanish,arts_culture;social_interaction;health,15,25,10
150,7451,7500,50,12,optionality_vs_obligatoriness_of_marking,2,article_obligatoriness_context,10,fr,French,social_interaction;health;news_public_affairs,15,25,10
151,7501,7550,50,35,focus_and_given_new_marking,1,cleft_focus,11,en,English,nature_environment;daily_life;education,15,25,10
152,7551,7600,50,23,aspect_and_event_structure,5,inchoative_or_resultative_event,2,es,Spanish,nature_environment;daily_life;education,15,25,10
153,7601,7650,50,24,modality_and_mood,4,ability_or_possibility,6,es,Spanish,travel_transport;arts_culture;social_interaction,15,25,10
154,7651,7700,50,3,nominal_modifier_order,5,multiple_modifier_order,7,es,Spanish,arts_culture;social_interaction;health,15,25,10
155,7701,7750,50,21,possession_and_alienability,1,body_part_possession,2,fr,French,nature_environment;daily_life;education,15,25,10
156,7751,7800,50,18,person_marking_and_person_hierarchy,3,local_vs_nonlocal_participants,13,hi,Hindi,news_public_affairs;family_relationships;science_technology,15,25,10
157,7801,7850,50,25,epistemic_modality,1,possibility_statement,10,tr,Turkish,sports_recreation;workplace;travel_transport,15,25,10
158,7851,7900,50,32,quotation_and_reported_speech_structure,3,quotative_particle_or_marker,7,ja,Japanese,daily_life;education;food_household,15,25,10
159,7901,7950,50,25,epistemic_modality,5,epistemic_auxiliary_or_particle,15,tr,Turkish,news_public_affairs;family_relationships;science_technology,15,25,10
160,7951,8000,50,2,basic_constituent_order,3,verb_final_order,1,en,English,travel_transport;arts_culture;social_interaction,15,25,10
161,8001,8050,50,21,possession_and_alienability,1,body_part_possession,11,tr,Turkish,social_interaction;health;news_public_affairs,15,25,10
162,8051,8100,50,21,possession_and_alienability,3,owned_object_possession,4,ru,Russian,sports_recreation;workplace;travel_transport,15,25,10
163,8101,8150,50,28,negation_and_polarity_structure,5,negation_scope_contrast,2,es,Spanish,science_technology;nature_environment;daily_life,15,25,10
164,8151,8200,50,33,discourse_relation_marking,2,contrastive_relation,6,en,English,sports_recreation;workplace;travel_transport,15,25,10
165,8201,8250,50,12,optionality_vs_obligatoriness_of_marking,3,optional_complementizer_context,8,tr,Turkish,food_household;sports_recreation;workplace,15,25,10
166,8251,8300,50,38,speech_act_force_and_request_directness,2,interrogative_request,5,ja,Japanese,workplace;travel_transport;arts_culture,15,25,10
167,8301,8350,50,3,nominal_modifier_order,5,multiple_modifier_order,4,ar,Arabic,nature_environment;daily_life;education,15,25,10
168,8351,8400,50,26,evidentiality,2,grammatical_inferential,13,en,English,arts_culture;social_interaction;health,15,25,10
169,8401,8450,50,16,gender_noun_class,4,participle_or_predicate_agreement,13,ru,Russian,sports_recreation;workplace;travel_transport,15,25,10
170,8451,8500,50,24,modality_and_mood,1,imperative_mood,1,es,Spanish,sports_recreation;workplace;travel_transport,15,25,10
171,8501,8550,50,1,subject_expression_pro_drop,4,contrastive_overt_pronoun,5,ja,Japanese,news_public_affairs;family_relationships;science_technology,15,25,10
172,8551,8600,50,38,speech_act_force_and_request_directness,4,performative_request,3,es,Spanish,sports_recreation;workplace;travel_transport,15,25,10
173,8601,8650,50,29,quantifier_scope_and_distributivity,3,collective_all,5,ru,Russian,food_household;sports_recreation;workplace,15,25,10
174,8651,8700,50,3,nominal_modifier_order,3,numeral_head_order,5,tr,Turkish,food_household;sports_recreation;workplace,15,25,10
175,8701,8750,50,6,transitivity_valency,2,monotransitive_clause,7,es,Spanish,news_public_affairs;family_relationships;science_technology,15,25,10
176,8751,8800,50,5,morphosyntactic_alignment,1,transitive_agent_patient_alignment,11,eu,Basque,travel_transport;arts_culture;social_interaction,15,25,10
177,8801,8850,50,5,morphosyntactic_alignment,1,transitive_agent_patient_alignment,13,ur,Urdu,education;food_household;sports_recreation,15,25,10
178,8851,8900,50,12,optionality_vs_obligatoriness_of_marking,2,article_obligatoriness_context,12,es,Spanish,sports_recreation;workplace;travel_transport,15,25,10
179,8901,8950,50,31,subordination_and_embedding,2,relative_clause,11,en,English,news_public_affairs;family_relationships;science_technology,15,25,10
180,8951,9000,50,15,number_marking,2,dual_number,15,hi,Hindi,nature_environment;daily_life;education,15,25,10
181,9001,9050,50,26,evidentiality,1,grammatical_reportative,13,en,English,food_household;sports_recreation;workplace,15,25,10
182,9051,9100,50,7,voice_and_agent_prominence,4,impersonal_passive,8,es,Spanish,social_interaction;health;news_public_affairs,15,25,10
183,9101,9150,50,24,modality_and_mood,1,imperative_mood,7,fr,French,workplace;travel_transport;arts_culture,15,25,10
184,9151,9200,50,38,speech_act_force_and_request_directness,1,direct_imperative_request,2,de,German,arts_culture;social_interaction;health,15,25,10
185,9201,9250,50,17,animacy_and_humanness,3,animacy_sensitive_object_marking,10,tr,Turkish,family_relationships;science_technology;nature_environment,15,25,10
186,9251,9300,50,40,orthographic_and_tokenization_interface,1,hyphenation_or_compound_orthography,4,tr,Turkish,nature_environment;daily_life;education,15,25,10
187,9301,9350,50,18,person_marking_and_person_hierarchy,5,multi_person_indexing,7,tr,Turkish,sports_recreation;workplace;travel_transport,15,25,10
188,9351,9400,50,5,morphosyntactic_alignment,2,intransitive_subject_alignment,11,eu,Basque,news_public_affairs;family_relationships;science_technology,15,25,10
189,9401,9450,50,27,mirativity_stance_and_affect_marking,5,unexpected_discovery_context,14,es,Spanish,health;news_public_affairs;family_relationships,15,25,10
190,9451,9500,50,13,redundancy_cumulative_exponence,4,negative_concord,2,ru,Russian,family_relationships;science_technology;nature_environment,15,25,10
191,9501,9550,50,22,tense_prominence,5,tense_with_independent_time_adverb,10,tr,Turkish,workplace;travel_transport;arts_culture,15,25,10
192,9551,9600,50,12,optionality_vs_obligatoriness_of_marking,3,optional_complementizer_context,1,en,English,sports_recreation;workplace;travel_transport,15,25,10
193,9601,9650,50,14,definiteness_and_specificity,1,definite_indefinite_article,9,tr,Turkish,food_household;sports_recreation;workplace,15,25,10
194,9651,9700,50,15,number_marking,4,collective_or_group_reference,1,en,English,news_public_affairs;family_relationships;science_technology,15,25,10
195,9701,9750,50,15,number_marking,4,collective_or_group_reference,6,en,English,nature_environment;daily_life;education,15,25,10
196,9751,9800,50,30,conditional_and_counterfactual_marking,1,real_conditional,15,tr,Turkish,travel_transport;arts_culture;social_interaction,15,25,10
197,9801,9850,50,7,voice_and_agent_prominence,1,active_passive_alternation,13,es,Spanish,science_technology;nature_environment;daily_life,15,25,10
198,9851,9900,50,35,focus_and_given_new_marking,3,fronted_or_marked_focus,12,fr,French,travel_transport;arts_culture;social_interaction,15,25,10
199,9901,9950,50,12,optionality_vs_obligatoriness_of_marking,3,optional_complementizer_context,5,fr,French,health;news_public_affairs;family_relationships,15,25,10
200,9951,10000,50,14,definiteness_and_specificity,2,bare_vs_determined_noun,5,ar,Arabic,education;food_household;sports_recreation,15,25,10
201,10001,10050,50,28,negation_and_polarity_structure,3,constituent_negation,3,fr,French,education;food_household;sports_recreation,15,25,10
202,10051,10100,50,29,quantifier_scope_and_distributivity,4,negation_quantifier_scope,2,de,German,nature_environment;daily_life;education,15,25,10
203,10101,10150,50,12,optionality_vs_obligatoriness_of_marking,1,optional_subject_expression,14,ja,Japanese,health;news_public_affairs;family_relationships,15,25,10
204,10151,10200,50,22,tense_prominence,3,sequence_of_tense,10,tr,Turkish,news_public_affairs;family_relationships;science_technology,15,25,10
205,10201,10250,50,37,social_deixis_honorifics_status_encoding,2,honorific_title_or_address,3,fr,French,sports_recreation;workplace;travel_transport,15,25,10
206,10251,10300,50,12,optionality_vs_obligatoriness_of_marking,2,article_obligatoriness_context,15,fr,French,family_relationships;science_technology;nature_environment,15,25,10
207,10301,10350,50,30,conditional_and_counterfactual_marking,4,inverted_or_markerless_conditional,4,de,German,daily_life;education;food_household,15,25,10
208,10351,10400,50,39,deixis_and_perspective_anchoring,5,perspective_shift_in_report_or_narration,13,es,Spanish,travel_transport;arts_culture;social_interaction,15,25,10
209,10401,10450,50,15,number_marking,1,singular_plural_nominal,6,en,English,daily_life;education;food_household,15,25,10
