variable_id,variable,evidence_status,mechanistic_claim_allowed,sentence_activation_test_auroc,sentence_best_text_test_auroc,sentence_activation_minus_text,sentence_best_layer_idx,delta_mismatch_activation_test_auroc,delta_mismatch_best_text_test_auroc,recommended_next_action
17,animacy_and_humanness,artifact_risk_best_layer_too_early,False,0.938,0.916,0.023,1,0.5,1.0,Inspect token-level artifacts; require later-layer or cross-template evidence before claiming structure.
18,person_marking_and_person_hierarchy,failed_text_baseline_matches_or_beats_activation,False,0.724,0.796,-0.072,5,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
19,inclusive_exclusive_distinction,failed_text_baseline_matches_or_beats_activation,False,1.0,1.0,0.0,0,0.5,0.852,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
20,pronoun_richness_and_reduction,failed_text_baseline_matches_or_beats_activation,False,1.0,0.992,0.008,0,0.5,0.973,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
21,possession_and_alienability,failed_text_baseline_matches_or_beats_activation,False,0.889,0.971,-0.082,0,0.5,0.905,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
22,tense_prominence,failed_text_baseline_matches_or_beats_activation,False,0.961,0.978,-0.016,3,0.5,0.964,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
23,aspect_and_event_structure,failed_text_baseline_matches_or_beats_activation,False,0.89,0.954,-0.064,0,0.5,0.995,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
24,modality_and_mood,failed_text_baseline_matches_or_beats_activation,False,0.756,0.921,-0.165,3,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
25,epistemic_modality,failed_text_baseline_matches_or_beats_activation,False,0.941,0.96,-0.019,1,0.5,0.999,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
26,evidentiality,failed_text_baseline_matches_or_beats_activation,False,0.961,0.984,-0.023,4,0.5,0.893,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
27,mirativity_stance_and_affect_marking,unclear_or_weak_after_controls,False,1.0,0.942,0.058,2,0.5,0.93,Treat as inconclusive; improve dataset controls before scaling.
28,negation_and_polarity_structure,failed_text_baseline_matches_or_beats_activation,False,0.965,0.967,-0.002,1,0.5,0.976,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
29,quantifier_scope_and_distributivity,failed_text_baseline_matches_or_beats_activation,False,1.0,1.0,0.0,2,0.5,0.945,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
30,conditional_and_counterfactual_marking,failed_text_baseline_matches_or_beats_activation,False,0.98,0.967,0.013,0,0.5,0.998,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
31,subordination_and_embedding,failed_text_baseline_matches_or_beats_activation,False,0.932,0.977,-0.045,4,0.5,0.986,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
32,quotation_and_reported_speech_structure,failed_text_baseline_matches_or_beats_activation,False,0.996,1.0,-0.004,3,0.5,0.994,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
33,discourse_relation_marking,artifact_risk_best_layer_too_early,False,0.994,0.973,0.021,1,0.5,0.999,Inspect token-level artifacts; require later-layer or cross-template evidence before claiming structure.
34,topic_comment_structure,failed_text_baseline_matches_or_beats_activation,False,0.843,0.836,0.006,0,0.5,0.985,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
35,focus_and_given_new_marking,artifact_risk_best_layer_too_early,False,0.952,0.925,0.027,0,0.5,0.995,Inspect token-level artifacts; require later-layer or cross-template evidence before claiming structure.
36,genericity_and_kind_level_reference,failed_text_baseline_matches_or_beats_activation,False,0.852,0.9,-0.049,3,0.5,0.992,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
37,social_deixis_honorifics_status_encoding,failed_text_baseline_matches_or_beats_activation,False,0.998,1.0,-0.002,3,0.5,0.905,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
38,speech_act_force_and_request_directness,failed_text_baseline_matches_or_beats_activation,False,0.979,0.982,-0.002,4,0.5,0.98,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
39,deixis_and_perspective_anchoring,failed_text_baseline_matches_or_beats_activation,False,1.0,1.0,0.0,0,0.5,1.0,Inspect examples and redesign splits/templates; current result is likely surface-classifiable.
40,orthographic_and_tokenization_interface,artifact_risk_best_layer_too_early,False,0.914,0.789,0.126,0,0.5,0.991,Inspect token-level artifacts; require later-layer or cross-template evidence before claiming structure.
