variable_id,variable,feature_id,inspection_grade,ablation_include,ablation_role,interpretation,inspection_rationale,original_sae_tier,probe_core_status,probe_l12_delta_test_auroc,train_effect,validation_effect,test_effect,train_fwer_significant,validation_same_direction,test_same_direction,full_survival,specificity_rank,specificity_ratio
11,agreement_indexing_density,758,C,True,exploratory_causal,agreement_inflection_proxy,Natural examples contain inflectional gender/number material. Plausibly agreement-related but does not cleanly encode agreement-density as an abstraction.,B2,robust_3of3,0.762,0.8260605335235596,0.8179236054420471,0.6730161905288696,True,True,True,True,1,1.6770809320356674
12,optionality_vs_obligatoriness_of_marking,9607,D,True,diagnostic_control,optionality_uninterpretable,Natural activation is dominated by Japanese temporal marker material rather than optional/obligatory marking.,B2,no_core_pass_0of3,0.724,0.4039496183395386,0.5193761587142944,0.5383659601211548,True,True,True,True,1,1.526488104321451
13,redundancy_cumulative_exponence,4814,B,True,causal_worth_testing,cumulative_inflection_morphology,"Russian inflectional endings plausibly combine multiple grammatical dimensions and are relevant to cumulative exponence, though language-specific.",A,no_core_pass_0of3,0.7852,0.7049897313117981,0.9284691214561462,0.4554257690906524,True,True,True,True,1,2.6598125883281427
14,definiteness_and_specificity,12995,C,True,exploratory_causal,indefinite_one_proxy,"Japanese 'one' material is potentially related to indefiniteness/specificity, but natural interpretation is narrower and ambiguous.",B2,robust_3of3,0.9916,-0.4743513166904449,-0.4373157620429992,-0.4210645258426666,True,True,True,True,1,1.0721435077936008
15,number_marking,8685,B,True,causal_worth_testing,plural_number_morphology,Natural activations strongly track plural morphology such as English -s and plural suffixes in other scripts. Worth causal testing despite split-direction instability.,D,no_core_pass_0of3,0.488,0.7831133604049683,-0.5596941709518433,-0.3925763964653015,True,False,False,False,1,1.4553339080765977
16,gender_noun_class,5205,A,True,primary_causal,grammatical_gender_feminine_morphology,Strong Arabic and Urdu feminine/gender morphology with excellent train/validation/test consistency.,A,robust_3of3,1.0,0.8970929384231567,0.9079066514968872,0.9085553884506226,True,True,True,True,1,1.578482198039567
17,animacy_and_humanness,6618,D,True,diagnostic_control,animacy_lexical_proxy,Natural activation mostly identifies artificial-intelligence lexical material rather than a general animacy/humanness distinction.,C,robust_3of3,0.9948,0.4999631643295288,0.15873683989048,0.7291128635406494,True,True,True,True,2,0.8281194065097687
18,person_marking_and_person_hierarchy,13235,B,True,causal_worth_testing,first_person_plural_marking,"Telugu first-person plural/pronominal morphology is directly person-related, though language-specific and narrower than the full person hierarchy.",B2,robust_3of3,0.8644000000000001,0.377556562423706,0.2080137282609939,0.269843578338623,True,True,True,True,1,1.153632915378371
19,inclusive_exclusive_distinction,6062,C,True,exploratory_causal,first_person_pronoun_proxy,Strong Chinese first-person pronoun feature. Relevant to person reference but not specifically inclusive/exclusive distinction.,B2,robust_3of3,0.916,-0.8535889983177185,-0.4935387074947357,-0.023348644375801,True,True,True,True,1,3.526197457348338
20,pronoun_richness_and_reduction,6944,A,True,primary_causal,crosslingual_third_person_pronouns,Natural activations identify third-person pronouns across several languages; strong grammatical and cross-lingual target alignment.,A,robust_3of3,1.0,-0.8313592672348022,-0.8597320914268494,-0.7884952425956726,True,True,True,True,1,1.2609370258059214
21,possession_and_alienability,15325,C,True,exploratory_causal,kinship_possession_proxy,Natural examples repeatedly involve kinship and possessive relations. Relevant to possession but does not isolate alienability itself.,A,robust_3of3,0.98,0.5251805782318115,0.4831566214561462,0.523063600063324,True,True,True,True,3,0.8457624709166407
22,tense_prominence,1385,C,True,exploratory_causal,temporal_reference_lexemes,Natural activations include week/month/year and other temporal reference material. Tense-related surface feature despite held-out instability.,D,robust_3of3,0.844,-0.396071583032608,-0.1382241696119308,0.0,True,True,False,False,2,0.9411945546796856
23,aspect_and_event_structure,6216,B,True,causal_worth_testing,progressive_aspect_ing,Natural activations strongly track English -ing/progressive event morphology. Clear aspect-related feature despite train/validation/test direction mismatch.,D,no_core_pass_0of3,0.404,-0.7045249938964844,-0.259358674287796,0.2909445464611053,True,True,False,False,1,1.876893253709653
24,modality_and_mood,13197,A,True,primary_causal,deontic_modality_markers,Cross-lingual modal material including should/debes/debemos. Strongly interpretable modality feature with held-out survival.,C,no_core_pass_0of3,0.92,0.6157345175743103,0.4226918220520019,0.4437281191349029,True,True,True,True,1,1.054724246410472
25,epistemic_modality,15221,A,True,primary_causal,epistemic_uncertainty_markers,"Cross-lingual uncertainty/epistemic markers such as perhaps, vielleicht, quizás and doute. Strong target alignment and quantitative evidence.",B2,robust_3of3,0.9308,0.7695838212966919,0.5663724541664124,0.5904353857040405,True,True,True,True,1,2.197882324242896
26,evidentiality,6900,B,True,causal_worth_testing,turkish_indirect_evidential_mis,"Natural activations strongly track Turkish -miş, a canonical indirect/reportative evidential marker. Excellent semantic interpretation despite held-out construction instability.",D,no_core_pass_0of3,0.1948,0.8795073628425598,0.760705828666687,-0.0717499107122421,True,True,False,False,1,3.0171381028551987
27,mirativity_stance_and_affect_marking,1887,C,True,exploratory_causal,mirativity_japanese_entangled,Natural contexts often contain surprise/mirative content but activation is heavily entangled with Japanese punctuation and language identity.,A,robust_3of3,1.0,0.9746910333633424,0.8548627495765686,0.9517486095428468,True,True,True,True,1,1.3951621428089385
28,negation_and_polarity_structure,4382,D,True,diagnostic_control,negation_association_uninterpretable,Strong statistical association but the natural feature mostly tracks entre/zwischen rather than negation or polarity.,B2,robust_3of3,0.96,0.6044781804084778,0.2816453576087951,0.3861485421657562,True,True,True,True,1,2.149028944139654
29,quantifier_scope_and_distributivity,8551,B,True,causal_worth_testing,quantified_noun_phrases,"Natural activations repeatedly contain numerically quantified noun phrases across languages. Relevant to quantification, though scope/distributivity itself is not established.",B2,robust_3of3,1.0,0.7004773616790771,0.4748110175132751,0.3130183815956116,True,True,True,True,1,1.2730067829077398
30,conditional_and_counterfactual_marking,11810,B,True,causal_worth_testing,counterfactual_conditional_morphology,French and English counterfactual constructions such as aurais/aurait and if-had structures. Strong target interpretation with some uneven validation strength.,A,robust_3of3,0.9356,0.7173345685005188,0.1414213478565216,0.2103140950202942,True,True,True,True,1,1.6875083911809223
31,subordination_and_embedding,11461,B,True,causal_worth_testing,complementizer_embedding,Natural activations strongly track complementizers that/qu in embedded clauses. Clear structural surface feature despite held-out sign reversal.,A,no_core_pass_0of3,0.6731999999999999,0.9137725234031676,0.9631659388542176,-0.5875706672668457,True,True,False,False,1,1.4730190321916428
32,quotation_and_reported_speech_structure,1754,B,True,causal_worth_testing,quotation_mark_surface_control,"Highly specific quotation-mark feature. It is a surface realization rather than deep reported-speech semantics, but is an excellent positive causal control.",A,robust_3of3,1.0,-0.8295131921768188,-0.8591980934143066,-0.9035183191299438,True,True,True,True,1,2.7008488887245767
33,discourse_relation_marking,9728,D,True,diagnostic_control,discourse_relation_uninterpretable,Natural activations are mixed lexical material and do not provide a convincing discourse-relation feature.,D,no_core_pass_0of3,0.2004,-0.8808950781822205,-0.1116095930337905,0.8860236406326294,True,True,False,False,3,0.9462949674398632
34,topic_comment_structure,1302,D,True,diagnostic_control,topic_comment_uninterpretable,Natural activation is dominated by language-specific verbal morphology and does not isolate topic-comment organization.,B2,robust_3of3,0.9996,0.7794960737228394,0.5337711572647095,0.6940169334411621,True,True,True,True,1,1.094299028610833
35,focus_and_given_new_marking,7136,B,True,causal_worth_testing,japanese_korean_focus_particles,Japanese ga and Korean i-like grammatical particles are plausibly related to focus/new-subject marking. Language-specific but directly worth causal testing.,B2,robust_3of3,0.928,0.6991597414016724,0.4188220798969269,0.1015874668955802,True,True,True,True,1,1.3446213958875517
36,genericity_and_kind_level_reference,1858,D,True,diagnostic_control,genericity_quantifier_proxy,Plural/quantified noun material occurs naturally but does not cleanly distinguish generic or kind-level reference.,B2,robust_3of3,0.9372,0.3655546903610229,0.3438003659248352,0.4747397899627685,True,True,True,True,3,0.9010122631450784
37,social_deixis_honorifics_status_encoding,2081,A,True,primary_causal,korean_formal_honorific_morphology,Natural activations strongly track Korean formal/honorific endings such as -습니다/-했습니다 with strong specificity.,B2,no_core_pass_0of3,0.75,0.8197708129882812,0.4216081798076629,0.3720954358577728,True,True,True,True,1,2.770873284695797
38,speech_act_force_and_request_directness,14406,C,True,exploratory_causal,speech_act_exclamation_surface,"Exclamation punctuation is a direct surface correlate of speech-act force. It does not isolate request directness, but is useful for exploratory ablation.",A,no_core_pass_0of3,0.9068,0.4279492497444153,0.613838791847229,0.0889836773276329,True,True,True,True,3,0.8740642348246046
39,deixis_and_perspective_anchoring,14441,A,True,primary_causal,crosslingual_temporal_deixis,"Natural activations track now/current/today expressions across Japanese, Korean, Turkish and other languages. Strong deixis-related feature.",B2,no_core_pass_0of3,0.7312000000000001,-0.7022145986557007,-0.3162277638912201,-0.2696905136108398,True,True,True,True,1,2.0270274199657763
40,orthographic_and_tokenization_interface,3132,B,True,causal_worth_testing,orthographic_punctuation_interface,Comma/punctuation activation is exactly relevant to the orthographic-tokenization interface variable. Statistical instability does not make it an artifact for this target.,D,no_core_pass_0of3,0.4992,-0.4180063605308532,-0.1414213478565216,0.2460478544235229,True,True,False,False,3,0.8358437310495543
