variable_id,variable,field,split,group,n,seen_in_train
6,transitivity_valency,lexical_domain,train,education,72,True
6,transitivity_valency,lexical_domain,train,engineering,72,True
6,transitivity_valency,lexical_domain,train,healthcare,72,True
6,transitivity_valency,lexical_domain,train,logistics,72,True
6,transitivity_valency,lexical_domain,train,workplace_operations,64,True
6,transitivity_valency,lexical_domain,val,agriculture,18,False
6,transitivity_valency,lexical_domain,val,finance,32,False
6,transitivity_valency,lexical_domain,test,legal,18,False
6,transitivity_valency,lexical_domain,test,public_administration,16,False
6,transitivity_valency,lexical_domain,test,scientific_research,16,False
7,voice_and_agent_prominence,marker_family,train,active_voice,60,True
7,voice_and_agent_prominence,marker_family,train,agentless_passive,170,True
7,voice_and_agent_prominence,marker_family,train,by_phrase_passive,170,True
7,voice_and_agent_prominence,marker_family,val,patient_prominent_passive,50,False
7,voice_and_agent_prominence,marker_family,test,impersonal_voice,25,False
7,voice_and_agent_prominence,marker_family,test,middle_like_voice,25,False
7,voice_and_agent_prominence,lexical_domain,train,community_services,66,True
7,voice_and_agent_prominence,lexical_domain,train,education,67,True
7,voice_and_agent_prominence,lexical_domain,train,engineering,67,True
7,voice_and_agent_prominence,lexical_domain,train,healthcare,67,True
7,voice_and_agent_prominence,lexical_domain,train,logistics,67,True
7,voice_and_agent_prominence,lexical_domain,train,workplace_operations,66,True
7,voice_and_agent_prominence,lexical_domain,val,agriculture,25,False
7,voice_and_agent_prominence,lexical_domain,val,finance,25,False
7,voice_and_agent_prominence,lexical_domain,test,legal,18,False
7,voice_and_agent_prominence,lexical_domain,test,public_administration,16,False
7,voice_and_agent_prominence,lexical_domain,test,scientific_research,16,False
8,causativity_and_valency_change,marker_family,train,english_periphrastic_have_cause,60,True
8,causativity_and_valency_change,marker_family,train,english_periphrastic_make_cause,140,True
8,causativity_and_valency_change,marker_family,train,turkish_morphological_causative,200,True
8,causativity_and_valency_change,marker_family,val,indirect_causative,24,False
8,causativity_and_valency_change,marker_family,val,permissive_causative,26,False
8,causativity_and_valency_change,marker_family,test,causer_added_morphological,25,False
8,causativity_and_valency_change,marker_family,test,coercive_causative,25,False
8,causativity_and_valency_change,lexical_domain,train,community_services,42,True
8,causativity_and_valency_change,lexical_domain,train,education,68,True
8,causativity_and_valency_change,lexical_domain,train,engineering,74,True
8,causativity_and_valency_change,lexical_domain,train,healthcare,84,True
8,causativity_and_valency_change,lexical_domain,train,logistics,54,True
8,causativity_and_valency_change,lexical_domain,train,workplace_operations,78,True
8,causativity_and_valency_change,lexical_domain,val,agriculture,23,False
8,causativity_and_valency_change,lexical_domain,val,finance,27,False
8,causativity_and_valency_change,lexical_domain,test,legal,18,False
8,causativity_and_valency_change,lexical_domain,test,public_administration,15,False
8,causativity_and_valency_change,lexical_domain,test,scientific_research,17,False
9,analytic_vs_synthetic_encoding,marker_family,train,english_function_word_relation,100,True
9,analytic_vs_synthetic_encoding,marker_family,train,english_prepositional_relation,100,True
9,analytic_vs_synthetic_encoding,marker_family,train,turkish_bound_case_relation,200,True
9,analytic_vs_synthetic_encoding,marker_family,val,turkish_possessive_case_stack,50,False
9,analytic_vs_synthetic_encoding,marker_family,test,analytic_to_synthetic_parallel,25,False
9,analytic_vs_synthetic_encoding,marker_family,test,turkish_multi_suffix_compression,25,False
9,analytic_vs_synthetic_encoding,lexical_domain,train,community_services,66,True
9,analytic_vs_synthetic_encoding,lexical_domain,train,education,67,True
9,analytic_vs_synthetic_encoding,lexical_domain,train,engineering,67,True
9,analytic_vs_synthetic_encoding,lexical_domain,train,healthcare,67,True
9,analytic_vs_synthetic_encoding,lexical_domain,train,logistics,67,True
9,analytic_vs_synthetic_encoding,lexical_domain,train,workplace_operations,66,True
9,analytic_vs_synthetic_encoding,lexical_domain,val,agriculture,25,False
9,analytic_vs_synthetic_encoding,lexical_domain,val,finance,25,False
9,analytic_vs_synthetic_encoding,lexical_domain,test,legal,17,False
9,analytic_vs_synthetic_encoding,lexical_domain,test,public_administration,16,False
9,analytic_vs_synthetic_encoding,lexical_domain,test,scientific_research,17,False
10,morphological_segmentation_type,marker_family,train,hyphenated_morpheme_chain,120,True
10,morphological_segmentation_type,marker_family,train,suffix_stack_surface,160,True
10,morphological_segmentation_type,marker_family,train,unsegmented_agglutinated_form,120,True
10,morphological_segmentation_type,marker_family,val,gloss_like_separated_morphemes,50,False
10,morphological_segmentation_type,marker_family,test,derivational_inflectional_stack,25,False
10,morphological_segmentation_type,marker_family,test,possessive_number_case_stack,25,False
10,morphological_segmentation_type,lexical_domain,train,community_services,66,True
10,morphological_segmentation_type,lexical_domain,train,education,67,True
10,morphological_segmentation_type,lexical_domain,train,engineering,67,True
10,morphological_segmentation_type,lexical_domain,train,healthcare,67,True
10,morphological_segmentation_type,lexical_domain,train,logistics,67,True
10,morphological_segmentation_type,lexical_domain,train,workplace_operations,66,True
10,morphological_segmentation_type,lexical_domain,val,agriculture,25,False
10,morphological_segmentation_type,lexical_domain,val,finance,25,False
10,morphological_segmentation_type,lexical_domain,test,legal,17,False
10,morphological_segmentation_type,lexical_domain,test,public_administration,16,False
10,morphological_segmentation_type,lexical_domain,test,scientific_research,17,False
11,agreement_indexing_density,marker_family,train,adjective_noun_agreement,133,True
11,agreement_indexing_density,marker_family,train,determiner_noun_gender_agreement,133,True
11,agreement_indexing_density,marker_family,train,subject_verb_number_agreement,134,True
11,agreement_indexing_density,marker_family,val,determiner_noun_adjective_stack,50,False
11,agreement_indexing_density,marker_family,test,agreement_shift_without_lexical_change,25,False
11,agreement_indexing_density,marker_family,test,verb_person_indexing,25,False
11,agreement_indexing_density,lexical_domain,train,community_services,66,True
11,agreement_indexing_density,lexical_domain,train,education,66,True
11,agreement_indexing_density,lexical_domain,train,engineering,67,True
11,agreement_indexing_density,lexical_domain,train,healthcare,69,True
11,agreement_indexing_density,lexical_domain,train,logistics,66,True
11,agreement_indexing_density,lexical_domain,train,workplace_operations,66,True
11,agreement_indexing_density,lexical_domain,val,agriculture,25,False
11,agreement_indexing_density,lexical_domain,val,finance,25,False
11,agreement_indexing_density,lexical_domain,test,legal,18,False
11,agreement_indexing_density,lexical_domain,test,public_administration,16,False
11,agreement_indexing_density,lexical_domain,test,scientific_research,16,False
12,optionality_vs_obligatoriness_of_marking,marker_family,train,aspect_marker_optional,200,True
12,optionality_vs_obligatoriness_of_marking,marker_family,train,bare_nominal_context,66,True
12,optionality_vs_obligatoriness_of_marking,marker_family,train,temporal_adverb_optional,134,True
12,optionality_vs_obligatoriness_of_marking,marker_family,val,classifier_number_optional,50,False
12,optionality_vs_obligatoriness_of_marking,marker_family,test,context_only_temporal_inference,25,False
12,optionality_vs_obligatoriness_of_marking,marker_family,test,marker_absence_with_context,25,False
12,optionality_vs_obligatoriness_of_marking,lexical_domain,train,community_services,66,True
12,optionality_vs_obligatoriness_of_marking,lexical_domain,train,education,67,True
12,optionality_vs_obligatoriness_of_marking,lexical_domain,train,engineering,67,True
12,optionality_vs_obligatoriness_of_marking,lexical_domain,train,healthcare,67,True
12,optionality_vs_obligatoriness_of_marking,lexical_domain,train,logistics,67,True
12,optionality_vs_obligatoriness_of_marking,lexical_domain,train,workplace_operations,66,True
12,optionality_vs_obligatoriness_of_marking,lexical_domain,val,agriculture,25,False
12,optionality_vs_obligatoriness_of_marking,lexical_domain,val,finance,25,False
12,optionality_vs_obligatoriness_of_marking,lexical_domain,test,legal,17,False
12,optionality_vs_obligatoriness_of_marking,lexical_domain,test,public_administration,16,False
12,optionality_vs_obligatoriness_of_marking,lexical_domain,test,scientific_research,17,False
13,redundancy_cumulative_exponence,marker_family,train,multi_site_agreement,166,True
13,redundancy_cumulative_exponence,marker_family,train,noun_adjective_case_agreement,167,True
13,redundancy_cumulative_exponence,marker_family,train,subject_verb_agreement,67,True
13,redundancy_cumulative_exponence,marker_family,val,cumulative_case_gender_number_bundle,50,False
13,redundancy_cumulative_exponence,marker_family,test,agreement_bundle_shift,25,False
13,redundancy_cumulative_exponence,marker_family,test,redundant_stack_reduction,25,False
13,redundancy_cumulative_exponence,lexical_domain,train,community_services,66,True
13,redundancy_cumulative_exponence,lexical_domain,train,education,67,True
13,redundancy_cumulative_exponence,lexical_domain,train,engineering,67,True
13,redundancy_cumulative_exponence,lexical_domain,train,healthcare,67,True
13,redundancy_cumulative_exponence,lexical_domain,train,logistics,67,True
13,redundancy_cumulative_exponence,lexical_domain,train,workplace_operations,66,True
13,redundancy_cumulative_exponence,lexical_domain,val,agriculture,25,False
13,redundancy_cumulative_exponence,lexical_domain,val,finance,25,False
13,redundancy_cumulative_exponence,lexical_domain,test,legal,17,False
13,redundancy_cumulative_exponence,lexical_domain,test,public_administration,16,False
13,redundancy_cumulative_exponence,lexical_domain,test,scientific_research,17,False
14,definiteness_and_specificity,marker_family,train,bare_plural_generic,133,True
14,definiteness_and_specificity,marker_family,train,definite_article,134,True
14,definiteness_and_specificity,marker_family,train,indefinite_article,133,True
14,definiteness_and_specificity,marker_family,val,familiar_reference_marker,50,False
14,definiteness_and_specificity,marker_family,test,specificity_context_marker,17,False
14,definiteness_and_specificity,marker_family,test,unique_reference_description,33,False
14,definiteness_and_specificity,lexical_domain,train,community_services,66,True
14,definiteness_and_specificity,lexical_domain,train,education,67,True
14,definiteness_and_specificity,lexical_domain,train,engineering,66,True
14,definiteness_and_specificity,lexical_domain,train,healthcare,68,True
14,definiteness_and_specificity,lexical_domain,train,logistics,66,True
14,definiteness_and_specificity,lexical_domain,train,workplace_operations,67,True
14,definiteness_and_specificity,lexical_domain,val,agriculture,25,False
14,definiteness_and_specificity,lexical_domain,val,finance,25,False
14,definiteness_and_specificity,lexical_domain,test,legal,17,False
14,definiteness_and_specificity,lexical_domain,test,public_administration,17,False
14,definiteness_and_specificity,lexical_domain,test,scientific_research,16,False
15,number_marking,marker_family,train,arabic_plural_agreement,166,True
15,number_marking,marker_family,train,arabic_singular_dual,167,True
15,number_marking,marker_family,train,english_singular_plural,67,True
15,number_marking,marker_family,val,cardinal_number_agreement,50,False
15,number_marking,marker_family,test,collective_singulative_control,29,False
15,number_marking,marker_family,test,dual_modifier_agreement,21,False
15,number_marking,lexical_domain,train,community_services,66,True
15,number_marking,lexical_domain,train,education,66,True
15,number_marking,lexical_domain,train,engineering,68,True
15,number_marking,lexical_domain,train,healthcare,66,True
15,number_marking,lexical_domain,train,logistics,67,True
15,number_marking,lexical_domain,train,workplace_operations,67,True
15,number_marking,lexical_domain,val,agriculture,25,False
15,number_marking,lexical_domain,val,finance,25,False
15,number_marking,lexical_domain,test,legal,17,False
15,number_marking,lexical_domain,test,public_administration,16,False
15,number_marking,lexical_domain,test,scientific_research,17,False
16,gender_noun_class,marker_family,train,determiner_gender,133,True
16,gender_noun_class,marker_family,train,feminine_agreement,133,True
16,gender_noun_class,marker_family,train,masculine_agreement,134,True
16,gender_noun_class,marker_family,val,adjective_gender_shift,50,False
16,gender_noun_class,marker_family,test,gender_number_interaction,25,False
16,gender_noun_class,marker_family,test,inanimate_gender_agreement,25,False
16,gender_noun_class,lexical_domain,train,community_services,66,True
16,gender_noun_class,lexical_domain,train,education,67,True
16,gender_noun_class,lexical_domain,train,engineering,67,True
16,gender_noun_class,lexical_domain,train,healthcare,67,True
16,gender_noun_class,lexical_domain,train,logistics,67,True
16,gender_noun_class,lexical_domain,train,workplace_operations,66,True
16,gender_noun_class,lexical_domain,val,agriculture,25,False
16,gender_noun_class,lexical_domain,val,finance,25,False
16,gender_noun_class,lexical_domain,test,legal,17,False
16,gender_noun_class,lexical_domain,test,public_administration,17,False
16,gender_noun_class,lexical_domain,test,scientific_research,16,False
17,animacy_and_humanness,marker_family,train,animal_patient_lexical_set,133,True
17,animacy_and_humanness,marker_family,train,human_agent_lexical_set,133,True
17,animacy_and_humanness,marker_family,train,inanimate_object_lexical_set,134,True
17,animacy_and_humanness,marker_family,val,sentient_living_contrast,50,False
17,animacy_and_humanness,marker_family,test,artifact_agent_control,25,False
17,animacy_and_humanness,marker_family,test,living_nonliving_boundary,25,False
17,animacy_and_humanness,lexical_domain,train,community_services,66,True
17,animacy_and_humanness,lexical_domain,train,education,67,True
17,animacy_and_humanness,lexical_domain,train,engineering,67,True
17,animacy_and_humanness,lexical_domain,train,healthcare,67,True
17,animacy_and_humanness,lexical_domain,train,logistics,67,True
17,animacy_and_humanness,lexical_domain,train,workplace_operations,66,True
17,animacy_and_humanness,lexical_domain,val,agriculture,25,False
17,animacy_and_humanness,lexical_domain,val,finance,25,False
17,animacy_and_humanness,lexical_domain,test,legal,17,False
17,animacy_and_humanness,lexical_domain,test,public_administration,16,False
17,animacy_and_humanness,lexical_domain,test,scientific_research,17,False
18,person_marking_and_person_hierarchy,marker_family,train,english_person_pronoun,143,True
18,person_marking_and_person_hierarchy,marker_family,train,singular_person_marking,57,True
18,person_marking_and_person_hierarchy,marker_family,train,spanish_verb_person_indexing,200,True
18,person_marking_and_person_hierarchy,marker_family,val,plural_person_marking,50,False
18,person_marking_and_person_hierarchy,marker_family,test,addressee_reference_shift,20,False
18,person_marking_and_person_hierarchy,marker_family,test,pronounless_verb_indexing,30,False
18,person_marking_and_person_hierarchy,lexical_domain,train,community_services,66,True
18,person_marking_and_person_hierarchy,lexical_domain,train,education,67,True
18,person_marking_and_person_hierarchy,lexical_domain,train,engineering,67,True
18,person_marking_and_person_hierarchy,lexical_domain,train,healthcare,67,True
18,person_marking_and_person_hierarchy,lexical_domain,train,logistics,67,True
18,person_marking_and_person_hierarchy,lexical_domain,train,workplace_operations,66,True
18,person_marking_and_person_hierarchy,lexical_domain,val,agriculture,25,False
18,person_marking_and_person_hierarchy,lexical_domain,val,finance,25,False
18,person_marking_and_person_hierarchy,lexical_domain,test,legal,17,False
18,person_marking_and_person_hierarchy,lexical_domain,test,public_administration,16,False
18,person_marking_and_person_hierarchy,lexical_domain,test,scientific_research,17,False
19,inclusive_exclusive_distinction,marker_family,train,exclusive_lexical_phrase,133,True
19,inclusive_exclusive_distinction,marker_family,train,inclusive_lexical_phrase,134,True
19,inclusive_exclusive_distinction,marker_family,train,zanmen_women_contrast,133,True
19,inclusive_exclusive_distinction,marker_family,val,addressee_included_context,50,False
19,inclusive_exclusive_distinction,marker_family,test,explicit_addressee_exclusion,25,False
19,inclusive_exclusive_distinction,marker_family,test,group_membership_contextual_we,25,False
19,inclusive_exclusive_distinction,lexical_domain,train,community_services,66,True
19,inclusive_exclusive_distinction,lexical_domain,train,education,67,True
19,inclusive_exclusive_distinction,lexical_domain,train,engineering,67,True
19,inclusive_exclusive_distinction,lexical_domain,train,healthcare,67,True
19,inclusive_exclusive_distinction,lexical_domain,train,logistics,67,True
19,inclusive_exclusive_distinction,lexical_domain,train,workplace_operations,66,True
19,inclusive_exclusive_distinction,lexical_domain,val,agriculture,25,False
19,inclusive_exclusive_distinction,lexical_domain,val,finance,25,False
19,inclusive_exclusive_distinction,lexical_domain,test,legal,17,False
19,inclusive_exclusive_distinction,lexical_domain,test,public_administration,16,False
19,inclusive_exclusive_distinction,lexical_domain,test,scientific_research,17,False
20,pronoun_richness_and_reduction,marker_family,train,english_overt_pronoun,60,True
20,pronoun_richness_and_reduction,marker_family,train,japanese_zero_subject,220,True
20,pronoun_richness_and_reduction,marker_family,train,repeated_pronoun_reduction,120,True
20,pronoun_richness_and_reduction,marker_family,val,discourse_recoverable_reference,50,False
20,pronoun_richness_and_reduction,marker_family,test,cross_sentence_pronoun_omission,41,False
20,pronoun_richness_and_reduction,marker_family,test,zero_object_reference,9,False
20,pronoun_richness_and_reduction,lexical_domain,train,community_services,66,True
20,pronoun_richness_and_reduction,lexical_domain,train,education,67,True
20,pronoun_richness_and_reduction,lexical_domain,train,engineering,67,True
20,pronoun_richness_and_reduction,lexical_domain,train,healthcare,67,True
20,pronoun_richness_and_reduction,lexical_domain,train,logistics,67,True
20,pronoun_richness_and_reduction,lexical_domain,train,workplace_operations,66,True
20,pronoun_richness_and_reduction,lexical_domain,val,agriculture,25,False
20,pronoun_richness_and_reduction,lexical_domain,val,finance,25,False
20,pronoun_richness_and_reduction,lexical_domain,test,legal,16,False
20,pronoun_richness_and_reduction,lexical_domain,test,public_administration,17,False
20,pronoun_richness_and_reduction,lexical_domain,test,scientific_research,17,False
21,possession_and_alienability,marker_family,train,body_part_possession,109,True
21,possession_and_alienability,marker_family,train,kinship_possession,92,True
21,possession_and_alienability,marker_family,train,ownership_possession,199,True
21,possession_and_alienability,marker_family,val,temporary_possession,50,False
21,possession_and_alienability,marker_family,test,associated_relation_low_control,24,False
21,possession_and_alienability,marker_family,test,legal_ownership_relation,26,False
21,possession_and_alienability,lexical_domain,train,community_services,66,True
21,possession_and_alienability,lexical_domain,train,education,67,True
21,possession_and_alienability,lexical_domain,train,engineering,67,True
21,possession_and_alienability,lexical_domain,train,healthcare,67,True
21,possession_and_alienability,lexical_domain,train,logistics,67,True
21,possession_and_alienability,lexical_domain,train,workplace_operations,66,True
21,possession_and_alienability,lexical_domain,val,agriculture,25,False
21,possession_and_alienability,lexical_domain,val,finance,25,False
21,possession_and_alienability,lexical_domain,test,legal,17,False
21,possession_and_alienability,lexical_domain,test,public_administration,16,False
21,possession_and_alienability,lexical_domain,test,scientific_research,17,False
22,tense_prominence,marker_family,train,english_morphological_tense,120,True
22,tense_prominence,marker_family,train,explicit_time_anchor,200,True
22,tense_prominence,marker_family,train,mandarin_temporal_adverb,80,True
22,tense_prominence,marker_family,val,contextual_time_anchor,50,False
22,tense_prominence,marker_family,test,discourse_time_inference,30,False
22,tense_prominence,marker_family,test,unmarked_event_time_reference,20,False
22,tense_prominence,lexical_domain,train,community_services,66,True
22,tense_prominence,lexical_domain,train,education,66,True
22,tense_prominence,lexical_domain,train,engineering,69,True
22,tense_prominence,lexical_domain,train,healthcare,67,True
22,tense_prominence,lexical_domain,train,logistics,65,True
22,tense_prominence,lexical_domain,train,workplace_operations,67,True
22,tense_prominence,lexical_domain,val,agriculture,26,False
22,tense_prominence,lexical_domain,val,finance,24,False
22,tense_prominence,lexical_domain,test,legal,16,False
22,tense_prominence,lexical_domain,test,public_administration,17,False
22,tense_prominence,lexical_domain,test,scientific_research,17,False
23,aspect_and_event_structure,marker_family,train,english_progressive,200,True
23,aspect_and_event_structure,marker_family,train,russian_imperfective,100,True
23,aspect_and_event_structure,marker_family,train,russian_perfective,100,True
23,aspect_and_event_structure,marker_family,val,habitual_aspect,26,False
23,aspect_and_event_structure,marker_family,val,iterative_aspect,24,False
23,aspect_and_event_structure,marker_family,test,completive_ongoing_contrast,26,False
23,aspect_and_event_structure,marker_family,test,punctual_event_structure,24,False
23,aspect_and_event_structure,lexical_domain,train,community_services,66,True
23,aspect_and_event_structure,lexical_domain,train,education,67,True
23,aspect_and_event_structure,lexical_domain,train,engineering,67,True
23,aspect_and_event_structure,lexical_domain,train,healthcare,67,True
23,aspect_and_event_structure,lexical_domain,train,logistics,67,True
23,aspect_and_event_structure,lexical_domain,train,workplace_operations,66,True
23,aspect_and_event_structure,lexical_domain,val,agriculture,25,False
23,aspect_and_event_structure,lexical_domain,val,finance,25,False
23,aspect_and_event_structure,lexical_domain,test,legal,17,False
23,aspect_and_event_structure,lexical_domain,test,public_administration,16,False
23,aspect_and_event_structure,lexical_domain,test,scientific_research,17,False
24,modality_and_mood,marker_family,train,imperative_mood,57,True
24,modality_and_mood,marker_family,train,modal_auxiliary,171,True
24,modality_and_mood,marker_family,train,modal_periphrastic,172,True
24,modality_and_mood,marker_family,val,modal_adverbial,50,False
24,modality_and_mood,marker_family,test,impersonal_modality,25,False
24,modality_and_mood,marker_family,test,nominalized_modality,25,False
24,modality_and_mood,lexical_domain,train,community_services,66,True
24,modality_and_mood,lexical_domain,train,education,67,True
24,modality_and_mood,lexical_domain,train,engineering,67,True
24,modality_and_mood,lexical_domain,train,healthcare,67,True
24,modality_and_mood,lexical_domain,train,logistics,67,True
24,modality_and_mood,lexical_domain,train,workplace_operations,66,True
24,modality_and_mood,lexical_domain,val,agriculture,25,False
24,modality_and_mood,lexical_domain,val,finance,25,False
24,modality_and_mood,lexical_domain,test,legal,17,False
24,modality_and_mood,lexical_domain,test,public_administration,16,False
24,modality_and_mood,lexical_domain,test,scientific_research,17,False
25,epistemic_modality,marker_family,train,certainty_adverb,100,True
25,epistemic_modality,marker_family,train,possibility_adverb,200,True
25,epistemic_modality,marker_family,train,probability_adverb,100,True
25,epistemic_modality,marker_family,val,hedged_claim_phrase,50,False
25,epistemic_modality,marker_family,test,evidential_like_apparent_marker,25,False
25,epistemic_modality,marker_family,test,low_confidence_periphrasis,25,False
25,epistemic_modality,lexical_domain,train,community_services,66,True
25,epistemic_modality,lexical_domain,train,education,67,True
25,epistemic_modality,lexical_domain,train,engineering,67,True
25,epistemic_modality,lexical_domain,train,healthcare,67,True
25,epistemic_modality,lexical_domain,train,logistics,67,True
25,epistemic_modality,lexical_domain,train,workplace_operations,66,True
25,epistemic_modality,lexical_domain,val,agriculture,25,False
25,epistemic_modality,lexical_domain,val,finance,25,False
25,epistemic_modality,lexical_domain,test,legal,17,False
25,epistemic_modality,lexical_domain,test,public_administration,16,False
25,epistemic_modality,lexical_domain,test,scientific_research,17,False
26,evidentiality,marker_family,train,english_reported_source_phrase,80,True
26,evidentiality,marker_family,train,turkish_direct_past,160,True
26,evidentiality,marker_family,train,turkish_reported_evidential,160,True
26,evidentiality,marker_family,val,turkish_inferred_evidential,50,False
26,evidentiality,marker_family,test,hearsay_source_construction,25,False
26,evidentiality,marker_family,test,inference_source_construction,25,False
26,evidentiality,lexical_domain,train,community_services,66,True
26,evidentiality,lexical_domain,train,education,67,True
26,evidentiality,lexical_domain,train,engineering,67,True
26,evidentiality,lexical_domain,train,healthcare,67,True
26,evidentiality,lexical_domain,train,logistics,67,True
26,evidentiality,lexical_domain,train,workplace_operations,66,True
26,evidentiality,lexical_domain,val,agriculture,25,False
26,evidentiality,lexical_domain,val,finance,25,False
26,evidentiality,lexical_domain,test,legal,17,False
26,evidentiality,lexical_domain,test,public_administration,16,False
26,evidentiality,lexical_domain,test,scientific_research,17,False
27,mirativity_stance_and_affect_marking,marker_family,train,sentence_final_affect,133,True
