probe_family,variable_id,variable,activation_representation,activation_layer_idx,activation_layer_name,activation_val_auroc,activation_val_auroc_ci_lower,activation_val_auroc_ci_upper,activation_test_auroc,activation_test_auroc_ci_lower,activation_test_auroc_ci_upper,activation_test_accuracy,best_text_model_kind,best_text_val_auroc,best_text_val_auroc_ci_lower,best_text_val_auroc_ci_upper,best_text_test_auroc,best_text_test_auroc_ci_lower,best_text_test_auroc_ci_upper,activation_minus_text_test_auroc,best_null_val_auroc,best_null_test_auroc,activation_minus_null_test_auroc,suspiciously_high_test_auroc,possible_overfit,weak_signal
delta_direction_basis_to_changed,11,agreement_indexing_density,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.7316,0.6212970451984058,0.8314977931085643,0.5,char_tfidf,0.5,0.38998958333333333,0.6119850852272726,0.8766,0.8046689437399356,0.9357823958910488,-0.14500000000000002,,,,False,False,False
delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.6644000000000001,0.5506914464845499,0.7701984848484847,0.54,word_tfidf,0.5,0.5,0.5,0.5,0.4109119501893827,0.5935483541877975,0.1644000000000001,,,,False,False,False
delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,final_token,3,layer_3,1.0,0.9999999999999999,1.0,0.878,0.812490591128061,0.9363893066344575,0.74,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.378,,,,False,False,False
delta_direction_basis_to_changed,14,definiteness_and_specificity,final_token,18,layer_18,1.0,0.9999999999999999,1.0,0.986,0.9599983974358974,1.0,0.98,char_tfidf,0.5924,0.4829206699674384,0.6990271563170724,0.6386000000000001,0.5235342229228098,0.7449088300092764,0.34739999999999993,,,,True,False,False
delta_direction_basis_to_changed,15,number_marking,final_token,19,layer_19,0.7864,0.687665596146126,0.8731654801343615,0.4376,0.31992622018699096,0.5545072115384615,0.4,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,-0.06240000000000001,,,,False,True,True
delta_direction_basis_to_changed,16,gender_noun_class,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9884000000000001,0.971986546525475,0.9991883116883117,0.94,word_tfidf,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,-0.011599999999999944,,,,True,False,False
delta_direction_basis_to_changed,17,animacy_and_humanness,final_token,20,layer_20,1.0,0.9999999999999999,1.0,0.9248,0.8689703525641027,0.9699583584943638,0.8,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.42479999999999996,,,,False,False,False
delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,mean_pooled,11,layer_11,0.8996,0.8259242223459431,0.955040388990108,0.8208,0.7355937802035922,0.8946225229916838,0.72,word_tfidf,0.8238,0.7323052876376989,0.9074827967171717,0.8055999999999999,0.7191988961038961,0.8800138055222089,0.015200000000000102,,,,False,False,False
delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,mean_pooled,9,layer_9,0.9908,0.9759278199560032,0.9987981129951982,0.9096000000000001,0.8554977560179519,0.9579798828622358,0.76,word_tfidf,0.5,0.3790560873039045,0.6139390870041169,0.5,0.3919567827130852,0.6070833873028334,0.4096000000000001,,,,False,False,False
delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,final_token,1,layer_1,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5,0.4064614351521872,0.6030196406212002,0.5,0.4092683661180249,0.589778286372002,0.5,,,,True,False,False
delta_direction_basis_to_changed,21,possession_and_alienability,final_token,5,layer_5,0.9604,0.9217068866751474,0.9883914262820512,0.8735999999999999,0.8020740896572827,0.93678488373278,0.76,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,0.37359999999999993,,,,False,False,False
delta_direction_basis_to_changed,22,tense_prominence,final_token,1,layer_1,0.8248,0.7419381435006436,0.8958908279220779,0.9252,0.8669812683900799,0.9727650792854277,0.86,char_tfidf,0.7196,0.6221974847631361,0.8147085336538462,0.7458,0.650036945729717,0.8283166119341103,0.1794,,,,False,True,False
delta_direction_basis_to_changed,23,aspect_and_event_structure,final_token,18,layer_18,0.9616,0.9259681637077908,0.9868036026111792,0.38359999999999994,0.2708870869033048,0.4894133895982636,0.46,word_tfidf,0.5,0.5,0.5,0.5,0.5,0.5,-0.11640000000000006,,,,False,False,True
delta_direction_basis_to_changed,24,modality_and_mood,final_token,21,layer_21,0.9683999999999999,0.9350541015364348,0.9919484702093397,0.7444,0.6456161616161618,0.838568132717396,0.62,word_tfidf,0.5,0.3892638290229885,0.6111194477791115,0.5,0.3943140645586298,0.610394048016447,0.24439999999999995,,,,False,False,False
delta_direction_basis_to_changed,25,epistemic_modality,mean_pooled,0,layer_0,1.0,0.9999999999999999,1.0,0.7515999999999999,0.6478563043574919,0.852171717171717,0.82,word_tfidf,0.5,0.3851865458937198,0.6142478488980133,0.6472,0.5367964663461537,0.754042371392542,0.10439999999999994,,,,False,False,False
delta_direction_basis_to_changed,26,evidentiality,final_token,6,layer_6,0.8855999999999999,0.81596976328458,0.9382185704602142,0.7020000000000001,0.5957534271284273,0.7965029761904762,0.58,char_tfidf,0.7658,0.6648099143206855,0.8578301522468061,0.4866,0.37286476408745317,0.5985681249999999,0.2154000000000001,,,,False,False,False
delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,char_tfidf,0.98,0.9548415932726277,0.9967886954059023,0.9528,0.901354376978064,0.9903935185185185,0.04720000000000002,,,,True,False,False
delta_direction_basis_to_changed,28,negation_and_polarity_structure,mean_pooled,2,layer_2,0.7867999999999999,0.6980103773584907,0.8686322331661607,0.9604,0.9224136363636363,0.9867623444399839,0.82,length_punct,0.5,0.5,0.5,0.5,0.5,0.5,0.46040000000000003,,,,False,True,False
delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9743999999999999,0.9482757575757577,0.9927971188475391,0.84,char_tfidf,0.7435999999999999,0.6516408137077294,0.8304391074611662,0.6472,0.5376320378362104,0.7523490870162889,0.32719999999999994,,,,True,False,False
delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.9284,0.8767742330160917,0.9703994689388711,0.9,length_punct,0.5,0.5,0.5,0.5,0.5,0.5,0.4284,,,,False,False,False
delta_direction_basis_to_changed,31,subordination_and_embedding,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.7468,0.6380675220908035,0.8352500364219114,0.5,word_tfidf,0.5,0.389581392573087,0.6100422528860029,0.5,0.3928473964139726,0.6118617507609104,0.24680000000000002,,,,False,False,False
delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.8304,0.7552724381603303,0.8912355307735743,0.5,0.38735288660918915,0.61459375,0.5,,,,True,False,False
delta_direction_basis_to_changed,33,discourse_relation_marking,final_token,5,layer_5,0.75,0.6464995941558442,0.8460563428342032,0.0864,0.039504590163934435,0.149671937318379,0.16,length_punct,0.5,0.5,0.5,0.5,0.5,0.5,-0.41359999999999997,,,,False,True,True
delta_direction_basis_to_changed,34,topic_comment_structure,mean_pooled,12,layer_12,0.944,0.8989898989898991,0.9788281934965877,0.9995999999999999,0.9975843214756258,1.0,0.98,char_tfidf,0.6638000000000001,0.5510692398885989,0.7679178417211203,0.5784,0.46642234243275804,0.6841582487363768,0.4211999999999999,,,,True,False,False
delta_direction_basis_to_changed,35,focus_and_given_new_marking,final_token,0,layer_0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,word_tfidf,0.5,0.3931193215922733,0.6118148936007288,0.7238,0.6336084433773509,0.8064652899184148,0.2762,,,,True,False,False
delta_direction_basis_to_changed,36,genericity_and_kind_level_reference,final_token,12,layer_12,0.9556,0.9180717410962294,0.9826977382520861,0.9472,0.9012631411970614,0.9817535876623377,0.92,word_tfidf,0.9168,0.8606666626725221,0.9625942180150748,0.8086,0.7165660225442834,0.8911612202712745,0.13860000000000006,,,,False,False,False
delta_direction_basis_to_changed,37,social_deixis_honorifics_status_encoding,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.75,0.6412093246389465,0.8401506249999999,0.5,char_tfidf,0.8527999999999999,0.7516835206100937,0.9402054924242423,0.5512,0.43448715423669465,0.6604078571428571,0.19879999999999998,,,,False,False,False
delta_direction_basis_to_changed,38,speech_act_force_and_request_directness,final_token,2,layer_2,1.0,0.9999999999999999,1.0,0.58,0.46152336553945256,0.6858997584541063,0.56,char_tfidf,0.87,0.7896358180032533,0.9351743475167844,0.468,0.3529919642857143,0.5794406660875745,0.11199999999999993,,,,False,False,True
delta_direction_basis_to_changed,39,deixis_and_perspective_anchoring,mean_pooled,14,layer_14,0.81,0.7204050480769231,0.8919589995088945,0.8816,0.81159125,0.9399577001435937,0.84,word_tfidf,0.5,0.3882710430499037,0.6096028971028971,0.49999999999999994,0.3860507246376812,0.616394816390506,0.3816000000000001,,,,False,True,False
delta_direction_basis_to_changed,40,orthographic_and_tokenization_interface,final_token,0,layer_0,0.8508,0.7687517171717172,0.9139562621286759,0.518,0.40262001958580884,0.6397618165993447,0.5,char_tfidf,1.0,1.0,1.0,0.5,0.5,0.5,0.018000000000000016,,,,False,False,True
sentence_basis_changed,1,Subject expression / pro-drop,mean_pooled,12,layer_12,0.9683999999999999,0.9326923076923077,0.992797118847539,0.9503999999999999,0.9079609400578412,0.9832008044763799,0.5,length_punct,0.7642,0.6742934463166145,0.850865038909984,0.8332,0.747703099989996,0.9097057801662586,0.11719999999999986,0.7984,0.5736,0.3767999999999999,False,False,False
sentence_basis_changed,2,basic_constituent_order,mean_pooled,8,layer_8,0.9216000000000001,0.8619128286417689,0.9681905982252141,0.5928,0.47824939644481196,0.7060035527900441,0.54,char_tfidf,0.8098,0.7167529408902351,0.8931814525075634,0.6178,0.5063376492423894,0.7358276022541819,-0.025000000000000022,0.6448,0.5464,0.0464,False,False,True
sentence_basis_changed,3,nominal_modifier_order,mean_pooled,9,layer_9,0.8944,0.8268327875325158,0.9499035280339628,0.5312,0.41744115259740266,0.6370432449494949,0.51,length_punct,0.7152,0.6050468632308634,0.8119652879511658,0.5142,0.39365749979145714,0.628467189766312,0.017000000000000015,0.9048,0.5992,-0.06799999999999995,False,False,True
sentence_basis_changed,4,case_marking,mean_pooled,18,layer_18,0.992,0.9788934892138674,0.9991996798719488,0.9916,0.9767888528353936,1.0,0.97,char_tfidf,0.9024000000000001,0.8391168588647581,0.9515833869779795,0.982,0.9614121510673235,0.9959745179263706,0.009600000000000053,0.8608,0.5112,0.48040000000000005,True,False,False
sentence_basis_changed,5,morphosyntactic_alignment,mean_pooled,8,layer_8,0.8516,0.7731132344934747,0.9194882006161342,0.8208000000000001,0.7280542194323809,0.8965755709807434,0.78,word_tfidf,0.9328,0.8810100888694639,0.9722710307110922,0.8757999999999999,0.795883655394525,0.9379836025319218,-0.05499999999999983,0.674,0.5152,0.3056000000000001,False,False,False
sentence_basis_changed,6,transitivity_valency,final_token,14,layer_14,0.864,0.7833680416258533,0.9326968584251326,0.9644,0.9283313204508857,0.9931329622758194,0.51,length_punct,0.9738,0.9428732789326766,0.9948077788807831,0.9964,0.9894889004822387,1.0,-0.03199999999999992,0.8664000000000001,0.7284,0.236,False,False,False
sentence_basis_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.8595999999999999,0.7843978431372549,0.9214773193760263,0.76,word_tfidf,1.0,0.9999999999999999,1.0,0.6286,0.5156681150721157,0.7411195326615494,0.23099999999999987,0.6728,0.6072000000000001,0.25239999999999985,False,False,False
sentence_basis_changed,8,causativity_and_valency_change,final_token,13,layer_13,0.9952000000000001,0.984172077922078,1.0,0.8572,0.7827952173913043,0.9232132796916438,0.8,length_punct,0.9802,0.9565004006410256,0.9959599619382228,0.7486,0.6532548530775947,0.837351976276797,0.10859999999999992,0.7812,0.6348,0.22239999999999993,False,False,False
sentence_basis_changed,9,analytic_vs_synthetic_encoding,mean_pooled,7,layer_7,1.0,0.9999999999999999,1.0,0.9952,0.9867501672688345,1.0,0.93,word_tfidf,0.9952,0.9855479727017262,1.0,0.978,0.9495917370129869,0.9952339409722222,0.017199999999999993,0.8644000000000001,0.5904,0.40479999999999994,True,False,False
sentence_basis_changed,10,morphological_segmentation_type,mean_pooled,1,layer_1,0.9812,0.9599807807506785,0.9971900243118818,0.9556,0.9099467205589583,0.9890968054933571,0.79,word_tfidf,1.0,0.9999999999999999,1.0,0.8608,0.7774975449116844,0.9363930917874397,0.0948,0.8072,0.594,0.36160000000000003,False,False,False
sentence_basis_changed,11,agreement_indexing_density,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.7536,0.6550545218087235,0.841054638804961,0.69,word_tfidf,1.0,0.9999999999999999,1.0,0.7365999999999999,0.6271395125713995,0.8305303945249598,0.017000000000000126,0.7636000000000001,0.6112,0.14240000000000008,False,False,False
sentence_basis_changed,12,optionality_vs_obligatoriness_of_marking,mean_pooled,12,layer_12,0.9868000000000001,0.9630603653151345,1.0,0.6275999999999999,0.5116633479975639,0.7335170048309179,0.58,char_tfidf,0.8948,0.8141437132614611,0.9567877150860344,0.49939999999999996,0.3865214773183462,0.6162807081601318,0.12819999999999998,0.6612,0.4392,0.18839999999999996,False,False,False
sentence_basis_changed,13,redundancy_cumulative_exponence,mean_pooled,23,layer_23,0.994,0.981665,1.0,0.6208,0.5088965518514144,0.7263432533013205,0.52,char_tfidf,0.9576,0.9204386517617218,0.9862655157342658,0.5396,0.41142007026789634,0.6696185992133901,0.08120000000000005,0.6992,0.4916,0.12920000000000004,False,False,False
sentence_basis_changed,14,definiteness_and_specificity,mean_pooled,13,layer_13,0.8956,0.8231192476990796,0.9535877418008553,0.8204,0.7250312416996683,0.8985665790013616,0.73,word_tfidf,0.767,0.6610292013439992,0.855969696969697,0.7892,0.6895907364827202,0.8679649758454105,0.031200000000000006,0.7624000000000001,0.5024,0.31800000000000006,False,False,False
sentence_basis_changed,15,number_marking,final_token,23,layer_23,0.6096,0.5042383701188455,0.7266595868732301,0.4376,0.3252199473313305,0.5525274172168867,0.46,word_tfidf,0.5198,0.411053494270194,0.6351296257070326,0.5392,0.4288529006476505,0.6533859212003792,-0.10160000000000002,0.8964,0.4868,-0.04920000000000002,False,True,True
sentence_basis_changed,16,gender_noun_class,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.8667999999999999,0.7853733170134639,0.9330431547619048,0.84,word_tfidf,1.0,0.9999999999999999,1.0,0.9007999999999999,0.8378312858312859,0.9517049743357487,-0.03400000000000003,0.6679999999999999,0.5004000000000001,0.36639999999999984,False,False,False
sentence_basis_changed,17,animacy_and_humanness,final_token,12,layer_12,0.7328,0.6285971685568046,0.8222407333065702,0.7931999999999999,0.700372938578884,0.8764107142857143,0.67,length_punct,0.6448,0.538058677134647,0.7513155262104841,0.5434000000000001,0.424320399904302,0.6500727279548183,0.2497999999999998,0.7272,0.5548000000000001,0.23839999999999983,False,True,False
sentence_basis_changed,18,person_marking_and_person_hierarchy,final_token,9,layer_9,0.7312000000000001,0.6306132271090255,0.8261611815619967,0.6776,0.5697832939964199,0.7772291024933349,0.59,word_tfidf,0.7624,0.6618319700923323,0.8526638120333773,0.7642,0.6694191113169748,0.8521271850233362,-0.08660000000000001,0.5968,0.39480000000000004,0.28279999999999994,False,True,False
sentence_basis_changed,19,inclusive_exclusive_distinction,mean_pooled,11,layer_11,0.8776,0.8039722601364914,0.9358771436896437,0.7435999999999998,0.6427864225690275,0.8369909920489935,0.71,char_tfidf,0.5566000000000001,0.43937001675670273,0.6626698369565217,0.6312,0.5102565582764936,0.7388443587662338,0.11239999999999983,0.7108,0.5075999999999999,0.23599999999999988,False,False,False
sentence_basis_changed,20,pronoun_richness_and_reduction,mean_pooled,12,layer_12,0.992,0.9775629767161782,1.0,0.922,0.864176353663446,0.9704239425238694,0.91,char_tfidf,0.9808,0.9579070512820512,0.9958679478076699,0.8316000000000001,0.7272165347130614,0.9171818727490996,0.09039999999999992,0.6752,0.5144,0.4076000000000001,False,False,False
sentence_basis_changed,21,possession_and_alienability,mean_pooled,15,layer_15,0.8356,0.7518507402961185,0.9095638255302121,0.7276,0.6136044491354213,0.8213165951839604,0.69,word_tfidf,0.9006,0.83692343661773,0.9538107572574483,0.8464,0.7696922405325767,0.9156275279040925,-0.11880000000000002,0.6156,0.6004,0.12719999999999998,False,True,False
sentence_basis_changed,22,tense_prominence,final_token,5,layer_5,0.7076,0.608963641658992,0.7999396135265701,0.6624000000000001,0.555598888888889,0.7644045833333333,0.6,char_tfidf,0.6646,0.5576755275974026,0.7636751753993133,0.6684,0.5459719910240719,0.7681401315912185,-0.005999999999999894,0.6712,0.46280000000000004,0.19960000000000006,False,True,False
sentence_basis_changed,23,aspect_and_event_structure,mean_pooled,14,layer_14,0.7084,0.5998256951381953,0.8124025032938075,0.4696,0.3537169512708833,0.5837742803945251,0.44,char_tfidf,0.6063999999999999,0.4895128824476651,0.7192309513403263,0.33920000000000006,0.23199355365157082,0.4520920719809566,0.13039999999999996,0.7276,0.46640000000000004,0.0031999999999999806,False,True,True
sentence_basis_changed,24,modality_and_mood,final_token,21,layer_21,0.7656000000000001,0.6729768719081837,0.8575058713925385,0.6376000000000001,0.5342161516217226,0.7450040463907521,0.61,length_punct,0.7541999999999999,0.659203681472589,0.8478006521739131,0.535,0.4325162677499634,0.6448759134615384,0.10260000000000002,0.7884,0.484,0.15360000000000007,False,True,False
sentence_basis_changed,25,epistemic_modality,mean_pooled,10,layer_10,0.8031999999999999,0.703509963768116,0.8914308698815736,0.7236,0.6198381076568559,0.8177138042717086,0.64,length_punct,0.619,0.5077854756929108,0.7345935864533011,0.6599999999999999,0.5453614912280701,0.7694345738408271,0.0636000000000001,0.7504,0.4868,0.2368,False,True,False
sentence_basis_changed,26,evidentiality,final_token,6,layer_6,0.772,0.6678403493058667,0.8686007402838996,0.48279999999999995,0.3673504433497537,0.6046418567426971,0.5,char_tfidf,0.6112,0.4845670468882783,0.7291016406562626,0.10560000000000001,0.050470802545156006,0.17350228345648602,0.3771999999999999,0.8660000000000001,0.5544,-0.07160000000000005,False,True,True
sentence_basis_changed,27,mirativity_stance_and_affect_marking,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.8324000000000001,0.7510866376755994,0.9045417465987196,0.74,length_punct,1.0,1.0,1.0,0.8518,0.7790580232558139,0.9186711052955665,-0.019399999999999862,0.8756,0.6312,0.20120000000000016,False,False,False
sentence_basis_changed,28,negation_and_polarity_structure,mean_pooled,4,layer_4,0.7568,0.6570215586234494,0.8498838401579016,0.8272,0.7448822373755843,0.9016209501576571,0.65,word_tfidf,0.6781999999999999,0.564033143939394,0.7824763585400204,0.8560000000000001,0.772909655448718,0.9202022463768116,-0.028800000000000048,0.6704,0.6808000000000001,0.14639999999999997,False,True,False
sentence_basis_changed,29,quantifier_scope_and_distributivity,mean_pooled,1,layer_1,0.922,0.8606754428120721,0.9691066704871837,0.86,0.7910522417362746,0.9301496914867549,0.76,char_tfidf,0.8512,0.7674769907963186,0.9223773567397974,0.8535999999999999,0.7727418707346447,0.9165272537954818,0.006400000000000072,0.7308,0.544,0.31599999999999995,False,False,False
sentence_basis_changed,30,conditional_and_counterfactual_marking,final_token,15,layer_15,0.7192,0.6133232323232323,0.8185593202798359,0.7072,0.5993392487304947,0.8032901368845502,0.57,length_punct,0.8046000000000001,0.71265386002886,0.8794568957676449,0.5808,0.46437575030012007,0.6982801467855816,0.12640000000000007,0.9012,0.6388,0.06840000000000002,False,True,False
sentence_basis_changed,31,subordination_and_embedding,final_token,0,layer_0,1.0,0.9999999999999999,1.0,0.5,0.36363636363636365,0.6415431266846362,0.25,word_tfidf,1.0,0.9999999999999999,1.0,0.5,0.36363636363636365,0.6415431266846361,0.0,0.7964,0.48519999999999996,0.014800000000000035,False,False,True
sentence_basis_changed,32,quotation_and_reported_speech_structure,mean_pooled,6,layer_6,0.9812,0.9511054750402577,0.9988091666666665,0.998,0.9923874385287034,1.0,0.95,word_tfidf,0.9352,0.8988358089120835,0.9661468493647459,0.9421999999999999,0.9074671422327673,0.9694030612244897,0.05580000000000007,0.838,0.6244000000000001,0.37359999999999993,True,False,False
sentence_basis_changed,33,discourse_relation_marking,final_token,6,layer_6,0.6624,0.5491084285581568,0.7640967143552537,0.4592,0.3504925582805952,0.5717239583333333,0.5,length_punct,0.6204,0.5081601745058102,0.7392961588191352,0.046400000000000004,0.015619926948051952,0.08363643781758837,0.4128,0.7568,0.5035999999999999,-0.04439999999999994,False,True,True
sentence_basis_changed,34,topic_comment_structure,mean_pooled,7,layer_7,0.8872,0.8117103949217181,0.9468678775858169,0.8855999999999999,0.8120840097402598,0.9527286187202154,0.58,char_tfidf,0.7398,0.6329230015936158,0.8434027034101997,0.7604,0.6650410628019323,0.8504028910024154,0.12519999999999998,0.7168,0.5184,0.36719999999999997,False,False,False
sentence_basis_changed,35,focus_and_given_new_marking,final_token,0,layer_0,0.6275999999999999,0.5095855989515721,0.7363123993558776,0.8976,0.8226391693111232,0.961139375,0.87,length_punct,0.598,0.47375263215688296,0.7149068679195818,0.9914,0.9771591449079632,1.0,-0.0938,0.776,0.5748,0.3228,False,True,False
sentence_basis_changed,36,genericity_and_kind_level_reference,final_token,12,layer_12,0.8364,0.7559681471823587,0.9112965747397702,0.8064,0.710939090872067,0.8856720027406169,0.75,char_tfidf,0.7758000000000002,0.6831919191919192,0.8639168916754162,0.8615999999999999,0.7769220465524814,0.9361348697236082,-0.055199999999999916,0.6552,0.6496,0.15680000000000005,False,True,False
sentence_basis_changed,37,social_deixis_honorifics_status_encoding,mean_pooled,3,layer_3,0.9456,0.898358693477391,0.9822866344605474,0.5544,0.4407457126207126,0.6707167678643116,0.66,char_tfidf,0.95,0.9059926556829628,0.9839980594510532,0.7276,0.6138245703741152,0.8349360909822867,-0.17320000000000002,0.9376,0.5596000000000001,-0.0052000000000000934,False,False,True
sentence_basis_changed,38,speech_act_force_and_request_directness,mean_pooled,22,layer_22,0.8936,0.8161057692307693,0.9508140101467017,0.7192,0.610578081091931,0.8169608126200133,0.65,length_punct,0.8964,0.8238895558223289,0.9499198717948717,0.6040000000000001,0.4941278787878788,0.7123893419692536,0.11519999999999986,0.8616,0.5816,0.13759999999999994,False,False,False
sentence_basis_changed,39,deixis_and_perspective_anchoring,final_token,0,layer_0,0.62,0.5097985216118271,0.7246469900336864,0.5972000000000001,0.48727418271383793,0.698520034891669,0.55,length_punct,0.54,0.423743315069906,0.6542079372921764,0.491,0.38463067573356186,0.603242551566081,0.10620000000000007,1.0,0.44639999999999996,0.1508000000000001,False,True,True
sentence_basis_changed,40,orthographic_and_tokenization_interface,final_token,0,layer_0,0.731,0.6531505613197188,0.8009466893315936,0.49,0.4666525423728814,0.5,0.5,length_punct,0.7756,0.6794325196984132,0.8639873798076924,0.49999999999999994,0.3920065625,0.6082195905258931,-0.009999999999999953,1.0,0.5188,-0.028800000000000048,False,True,True
