probe_family,variable_id,variable,layer_stability_threshold,best_layer_idx,best_layer_name,best_representation,best_val_auroc,best_test_auroc,layers_above_threshold_count,max_adjacent_layers_above_threshold,signal_beyond_layer_2,layers_above_threshold
delta_direction_basis_to_changed,31,subordination_and_embedding,0.7,1,layer_1,final_token,1.0,0.75,13,5,True,"[0, 1, 2, 3, 4, 14, 15, 16, 18, 19, 20, 21, 22]"
delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,33,discourse_relation_marking,0.7,5,layer_5,final_token,0.75,0.0864,0,0,False,[]
delta_direction_basis_to_changed,34,topic_comment_structure,0.7,12,layer_12,mean_pooled,0.944,0.9995999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,35,focus_and_given_new_marking,0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,36,genericity_and_kind_level_reference,0.7,12,layer_12,final_token,0.9556,0.9472,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,37,social_deixis_honorifics_status_encoding,0.7,0,layer_0,final_token,1.0,0.75,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,38,speech_act_force_and_request_directness,0.7,2,layer_2,final_token,1.0,0.58,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,39,deixis_and_perspective_anchoring,0.7,14,layer_14,mean_pooled,0.81,0.8816,23,19,True,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
delta_direction_basis_to_changed,40,orthographic_and_tokenization_interface,0.7,0,layer_0,final_token,0.8508,0.518,0,0,False,[]
sentence_basis_changed,1,Subject expression / pro-drop,0.7,12,layer_12,mean_pooled,0.9683999999999999,0.9503999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,2,basic_constituent_order,0.7,8,layer_8,mean_pooled,0.9216000000000001,0.5928,0,0,False,[]
sentence_basis_changed,3,nominal_modifier_order,0.7,9,layer_9,mean_pooled,0.8944,0.5312,0,0,False,[]
sentence_basis_changed,4,case_marking,0.7,18,layer_18,mean_pooled,0.992,0.9916,21,20,True,"[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,5,morphosyntactic_alignment,0.7,8,layer_8,mean_pooled,0.8516,0.8208000000000001,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,6,transitivity_valency,0.7,14,layer_14,final_token,0.864,0.9644,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,7,voice_and_agent_prominence,0.7,19,layer_19,final_token,1.0,0.988,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,8,causativity_and_valency_change,0.7,13,layer_13,final_token,0.9952000000000001,0.8572,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,9,analytic_vs_synthetic_encoding,0.7,7,layer_7,mean_pooled,1.0,0.9952,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,10,morphological_segmentation_type,0.7,1,layer_1,mean_pooled,0.9812,0.9556,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,11,agreement_indexing_density,0.7,3,layer_3,final_token,1.0,0.8103999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,12,optionality_vs_obligatoriness_of_marking,0.7,12,layer_12,mean_pooled,0.9868000000000001,0.6275999999999999,1,1,True,[19]
sentence_basis_changed,13,redundancy_cumulative_exponence,0.7,23,layer_23,mean_pooled,0.994,0.6208,0,0,False,[]
sentence_basis_changed,14,definiteness_and_specificity,0.7,13,layer_13,mean_pooled,0.8956,0.8204,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,15,number_marking,0.7,23,layer_23,final_token,0.6096,0.4376,0,0,False,[]
sentence_basis_changed,16,gender_noun_class,0.7,0,layer_0,final_token,1.0,0.8667999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,17,animacy_and_humanness,0.7,12,layer_12,final_token,0.7328,0.7931999999999999,22,22,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,18,person_marking_and_person_hierarchy,0.7,9,layer_9,final_token,0.7312000000000001,0.6776,1,1,True,[7]
sentence_basis_changed,19,inclusive_exclusive_distinction,0.7,11,layer_11,mean_pooled,0.8776,0.7435999999999998,16,9,True,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,20,pronoun_richness_and_reduction,0.7,12,layer_12,mean_pooled,0.992,0.922,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,21,possession_and_alienability,0.7,15,layer_15,mean_pooled,0.8356,0.7276,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,22,tense_prominence,0.7,5,layer_5,final_token,0.7076,0.6624000000000001,13,6,True,"[0, 1, 2, 7, 11, 13, 14, 15, 16, 17, 18, 22, 23]"
sentence_basis_changed,23,aspect_and_event_structure,0.7,14,layer_14,mean_pooled,0.7084,0.4696,0,0,False,[]
sentence_basis_changed,24,modality_and_mood,0.7,21,layer_21,final_token,0.7656000000000001,0.6376000000000001,2,1,True,"[12, 17]"
sentence_basis_changed,25,epistemic_modality,0.7,10,layer_10,mean_pooled,0.8031999999999999,0.7236,22,16,True,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,26,evidentiality,0.7,6,layer_6,final_token,0.772,0.48279999999999995,0,0,False,[]
sentence_basis_changed,27,mirativity_stance_and_affect_marking,0.7,16,layer_16,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,28,negation_and_polarity_structure,0.7,4,layer_4,mean_pooled,0.7568,0.8272,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,29,quantifier_scope_and_distributivity,0.7,1,layer_1,mean_pooled,0.922,0.86,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,30,conditional_and_counterfactual_marking,0.7,15,layer_15,final_token,0.7192,0.7072,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,31,subordination_and_embedding,0.7,20,layer_20,final_token,1.0,0.5188,0,0,False,[]
sentence_basis_changed,32,quotation_and_reported_speech_structure,0.7,6,layer_6,mean_pooled,0.9812,0.998,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,33,discourse_relation_marking,0.7,6,layer_6,final_token,0.6624,0.4592,0,0,False,[]
sentence_basis_changed,34,topic_comment_structure,0.7,7,layer_7,mean_pooled,0.8872,0.8855999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,35,focus_and_given_new_marking,0.7,0,layer_0,final_token,0.6275999999999999,0.8976,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,36,genericity_and_kind_level_reference,0.7,12,layer_12,final_token,0.8364,0.8064,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,37,social_deixis_honorifics_status_encoding,0.7,3,layer_3,mean_pooled,0.9456,0.5544,1,1,False,[0]
sentence_basis_changed,38,speech_act_force_and_request_directness,0.7,22,layer_22,mean_pooled,0.8936,0.7192,21,19,True,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
sentence_basis_changed,39,deixis_and_perspective_anchoring,0.7,15,layer_15,mean_pooled,0.62,0.6368,0,0,False,[]
sentence_basis_changed,40,orthographic_and_tokenization_interface,0.7,0,layer_0,final_token,0.731,0.49,0,0,False,[]
