text_probe_family,variable_id,variable,model_kind,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
text_sentence_basis_changed,2,basic_constituent_order,length_punct,0.545,0.545,0.5882352941176471,0.5821343750000001,800,0.5,0.5,0.5,0.5283018867924528,0.5,100,0.5,0.5,0.5,0.576271186440678,0.5032,100,0.5,,,,,,
text_delta_direction_basis_to_changed,2,basic_constituent_order,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,3,nominal_modifier_order,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.45,0.44999999999999996,0.35294117647058826,0.4528,100,0.5,0.56,0.56,0.5111111111111111,0.6098,100,0.5,,,,,,
text_delta_direction_basis_to_changed,3,nominal_modifier_order,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,3,nominal_modifier_order,char_tfidf,0.98375,0.98375,0.9837702871410736,0.9984625,800,0.5,0.41,0.41000000000000003,0.40404040404040403,0.3828,100,0.5,0.53,0.53,0.45977011494252873,0.48260000000000003,100,0.5,,,,,,
text_delta_direction_basis_to_changed,3,nominal_modifier_order,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,3,nominal_modifier_order,length_punct,0.66625,0.66625,0.6969353007945517,0.7606906250000001,800,0.5,0.61,0.61,0.6486486486486487,0.7152,100,0.5,0.5,0.5,0.6428571428571429,0.5142,100,0.5,0.6050468632308634,0.8119652879511658,1000.0,0.39365749979145714,0.628467189766312,1000.0
text_delta_direction_basis_to_changed,3,nominal_modifier_order,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,4,case_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.6,0.6000000000000001,0.6226415094339622,0.6694,100,0.5,0.66,0.6599999999999999,0.6458333333333334,0.7678,100,0.5,,,,,,
text_delta_direction_basis_to_changed,4,case_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.62,0.62,0.7246376811594203,0.7008,100,0.5,0.57,0.5700000000000001,0.6993006993006993,0.6301999999999999,100,0.5,0.5927480623973728,0.7949167425436886,1000.0,0.5175644110301126,0.7346694669640803,1000.0
text_sentence_basis_changed,4,case_marking,char_tfidf,0.96375,0.96375,0.9637046307884856,0.9956250000000001,800,0.5,0.72,0.72,0.6111111111111112,0.9024000000000001,100,0.5,0.92,0.9199999999999999,0.9183673469387755,0.982,100,0.5,0.8391168588647581,0.9515833869779795,1000.0,0.9614121510673235,0.9959745179263706,1000.0
text_delta_direction_basis_to_changed,4,case_marking,char_tfidf,0.565,0.565,0.6704545454545454,0.6171875,800,0.5,0.48,0.48,0.48,0.4284,100,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,,,,,,
text_sentence_basis_changed,4,case_marking,length_punct,0.5,0.5,0.504950495049505,0.5003499999999999,800,0.5,0.5,0.5,0.5967741935483871,0.4999999999999999,100,0.5,0.5,0.5,0.5192307692307693,0.49740000000000006,100,0.5,,,,,,
text_delta_direction_basis_to_changed,4,case_marking,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,5,morphosyntactic_alignment,word_tfidf,0.9625,0.9624999999999999,0.9627791563275434,0.9952749999999999,800,0.5,0.85,0.85,0.845360824742268,0.9328,100,0.5,0.76,0.76,0.7391304347826086,0.8757999999999999,100,0.5,0.8810100888694639,0.9722710307110922,1000.0,0.795883655394525,0.9379836025319218,1000.0
text_delta_direction_basis_to_changed,5,morphosyntactic_alignment,word_tfidf,0.825,0.825,0.8284313725490197,0.9325125,800,0.5,0.84,0.84,0.84,0.9462,100,0.5,0.77,0.77,0.7676767676767676,0.844,100,0.5,0.9003939393939393,0.9779216195933567,1000.0,0.7700030438311689,0.9090936363636365,1000.0
text_sentence_basis_changed,5,morphosyntactic_alignment,char_tfidf,0.90375,0.90375,0.9071170084439083,0.9738312499999999,800,0.5,0.83,0.8300000000000001,0.8247422680412371,0.9268000000000001,100,0.5,0.76,0.76,0.7446808510638298,0.8704000000000001,100,0.5,,,,,,
text_delta_direction_basis_to_changed,5,morphosyntactic_alignment,char_tfidf,0.72125,0.72125,0.7215980024968789,0.8081562499999999,800,0.5,0.76,0.76,0.7446808510638298,0.84,100,0.5,0.73,0.73,0.7272727272727273,0.7822,100,0.5,,,,,,
text_sentence_basis_changed,5,morphosyntactic_alignment,length_punct,0.6675,0.6675,0.6724137931034483,0.7472562500000001,800,0.5,0.65,0.65,0.6902654867256637,0.7212,100,0.5,0.69,0.69,0.7102803738317757,0.7172,100,0.5,,,,,,
text_delta_direction_basis_to_changed,5,morphosyntactic_alignment,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,6,transitivity_valency,word_tfidf,0.9975,0.9975,0.9974937343358395,0.99998125,800,0.5,0.51,0.51,0.6711409395973155,0.6632,100,0.5,0.5,0.5,0.6666666666666666,0.6285999999999999,100,0.5,,,,,,
text_delta_direction_basis_to_changed,6,transitivity_valency,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,6,transitivity_valency,char_tfidf,0.98625,0.9862500000000001,0.986335403726708,0.99909375,800,0.5,0.46,0.46,0.625,0.44720000000000004,100,0.5,0.51,0.51,0.6711409395973155,0.7484,100,0.5,,,,,,
text_delta_direction_basis_to_changed,6,transitivity_valency,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,6,transitivity_valency,length_punct,0.84375,0.84375,0.8431618569636136,0.93509375,800,0.5,0.5,0.5,0.6666666666666666,0.9738,100,0.5,0.54,0.54,0.684931506849315,0.9964,100,0.5,0.9428732789326766,0.9948077788807831,1000.0,0.9894889004822387,1.0,1000.0
text_delta_direction_basis_to_changed,6,transitivity_valency,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,7,voice_and_agent_prominence,word_tfidf,0.975,0.975,0.9743589743589743,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.5,0.5,0.5283018867924528,0.6286,100,0.5,0.9999999999999999,1.0,1000.0,0.5156681150721157,0.7411195326615494,1000.0
text_delta_direction_basis_to_changed,7,voice_and_agent_prominence,word_tfidf,0.52875,0.52875,0.4785615491009682,0.5536031250000001,800,0.5,0.5,0.5,0.358974358974359,0.5,100,0.5,0.75,0.75,0.691358024691358,0.875,100,0.5,0.3940080048173424,0.6046741885159861,1000.0,0.8087755132850241,0.929147166112822,1000.0
text_sentence_basis_changed,7,voice_and_agent_prominence,char_tfidf,0.98625,0.9862500000000001,0.9860583016476553,0.99999375,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.69,0.69,0.6736842105263158,0.8004,100,0.5,,,,,,
text_delta_direction_basis_to_changed,7,voice_and_agent_prominence,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,7,voice_and_agent_prominence,length_punct,0.68625,0.68625,0.6826801517067004,0.742146875,800,0.5,0.63,0.63,0.6837606837606838,0.7084,100,0.5,0.66,0.6599999999999999,0.5277777777777778,0.7709999999999998,100,0.5,,,,,,
text_delta_direction_basis_to_changed,7,voice_and_agent_prominence,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,8,causativity_and_valency_change,word_tfidf,0.975,0.9750000000000001,0.9745547073791349,0.99885625,800,0.5,0.73,0.73,0.6966292134831461,0.8114,100,0.5,0.62,0.62,0.6346153846153846,0.6963999999999999,100,0.5,,,,,,
text_delta_direction_basis_to_changed,8,causativity_and_valency_change,word_tfidf,0.8,0.8,0.8130841121495327,0.9197500000000001,800,0.5,0.55,0.55,0.5794392523364486,0.5886,100,0.5,0.49,0.49,0.5142857142857142,0.47959999999999997,100,0.5,0.47363019483155583,0.6976940776310523,1000.0,0.3585438520566351,0.5995825847909344,1000.0
text_sentence_basis_changed,8,causativity_and_valency_change,char_tfidf,0.97625,0.9762500000000001,0.9759188846641318,0.998275,800,0.5,0.73,0.73,0.7157894736842105,0.8019999999999999,100,0.5,0.65,0.65,0.6956521739130435,0.7448,100,0.5,,,,,,
text_delta_direction_basis_to_changed,8,causativity_and_valency_change,char_tfidf,0.715,0.7150000000000001,0.7426636568848759,0.83231875,800,0.5,0.55,0.55,0.6341463414634146,0.5643999999999999,100,0.5,0.62,0.62,0.6724137931034483,0.6965999999999999,100,0.5,,,,,,
text_sentence_basis_changed,8,causativity_and_valency_change,length_punct,0.81375,0.81375,0.8092189500640204,0.882309375,800,0.5,0.88,0.88,0.8928571428571429,0.9802,100,0.5,0.68,0.68,0.7142857142857143,0.7486,100,0.5,0.9565004006410256,0.9959599619382228,1000.0,0.6532548530775947,0.837351976276797,1000.0
text_delta_direction_basis_to_changed,8,causativity_and_valency_change,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,9,analytic_vs_synthetic_encoding,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.96,0.96,0.9591836734693877,0.9952,100,0.5,0.92,0.9199999999999999,0.9166666666666666,0.978,100,0.5,0.9855479727017262,1.0,1000.0,0.9495917370129869,0.9952339409722222,1000.0
text_delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,word_tfidf,0.5025,0.5025000000000001,0.6580756013745704,0.5049874999999999,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.51,0.51,0.6711409395973155,0.5197999999999999,100,0.5,0.3943487854332646,0.6179616789524415,1000.0,0.40001877127840124,0.6278511404561825,1000.0
text_sentence_basis_changed,9,analytic_vs_synthetic_encoding,char_tfidf,0.9975,0.9975,0.9975,0.99999375,800,0.5,0.92,0.9199999999999999,0.9130434782608695,0.9936,100,0.5,0.89,0.89,0.8910891089108911,0.9568,100,0.5,,,,,,
text_delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,9,analytic_vs_synthetic_encoding,length_punct,0.6975,0.6975,0.6747311827956989,0.80035,800,0.5,0.93,0.9299999999999999,0.9247311827956989,0.9012,100,0.5,0.76,0.76,0.6842105263157895,0.8378,100,0.5,,,,,,
text_delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,10,morphological_segmentation_type,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9090909090909091,1.0,100,0.5,0.8,0.8,0.7777777777777778,0.8608,100,0.5,0.9999999999999999,1.0,1000.0,0.7774975449116844,0.9363930917874397,1000.0
text_delta_direction_basis_to_changed,10,morphological_segmentation_type,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,10,morphological_segmentation_type,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.8979591836734694,0.9780000000000001,100,0.5,,,,,,
text_delta_direction_basis_to_changed,10,morphological_segmentation_type,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,10,morphological_segmentation_type,length_punct,0.87875,0.87875,0.8835534213685474,0.955925,800,0.5,0.72,0.72,0.6666666666666666,0.7111999999999999,100,0.5,0.64,0.64,0.6470588235294118,0.7002,100,0.5,,,,,,
text_delta_direction_basis_to_changed,10,morphological_segmentation_type,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,11,agreement_indexing_density,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.75,0.75,0.6835443037974683,0.7365999999999999,100,0.5,0.9999999999999999,1.0,1000.0,0.6271395125713995,0.8305303945249598,1000.0
text_delta_direction_basis_to_changed,11,agreement_indexing_density,word_tfidf,0.6675,0.6675,0.50187265917603,0.7788875000000001,800,0.5,0.5,0.5,0.0,0.49999999999999994,100,0.5,0.75,0.75,0.6835443037974683,0.875,100,0.5,,,,,,
text_sentence_basis_changed,11,agreement_indexing_density,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.74,0.74,0.6904761904761905,0.759,100,0.5,,,,,,
text_delta_direction_basis_to_changed,11,agreement_indexing_density,char_tfidf,0.6,0.6,0.3333333333333333,0.6799999999999999,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.75,0.75,0.6835443037974683,0.8766,100,0.5,0.38998958333333333,0.6119850852272726,1000.0,0.8046689437399356,0.9357823958910488,1000.0
text_sentence_basis_changed,11,agreement_indexing_density,length_punct,0.6125,0.6125,0.6005154639175257,0.6640500000000001,800,0.5,0.56,0.56,0.6451612903225806,0.6626,100,0.5,0.53,0.53,0.624,0.6632000000000001,100,0.5,,,,,,
text_delta_direction_basis_to_changed,11,agreement_indexing_density,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,12,optionality_vs_obligatoriness_of_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.34210526315789475,0.5,100,0.5,0.5,0.5,1000.0,0.4109119501893827,0.5935483541877975,1000.0
text_sentence_basis_changed,12,optionality_vs_obligatoriness_of_marking,char_tfidf,0.99,0.99,0.98989898989899,0.9995312499999999,800,0.5,0.8,0.8,0.8333333333333334,0.8948,100,0.5,0.51,0.51,0.4842105263157895,0.49939999999999996,100,0.5,0.8141437132614611,0.9567877150860344,1000.0,0.3865214773183462,0.6162807081601318,1000.0
text_delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,char_tfidf,0.50875,0.50875,0.0665083135391924,0.517346875,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.49999999999999994,100,0.5,,,,,,
text_sentence_basis_changed,12,optionality_vs_obligatoriness_of_marking,length_punct,0.515,0.515,0.47989276139410186,0.51633125,800,0.5,0.48,0.48,0.6486486486486487,0.276,100,0.5,0.47,0.47000000000000003,0.5137614678899083,0.4838,100,0.5,,,,,,
text_delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,13,redundancy_cumulative_exponence,word_tfidf,0.95875,0.95875,0.9573091849935317,0.9965968749999999,800,0.5,0.84,0.8400000000000001,0.8490566037735849,0.9246,100,0.5,0.54,0.54,0.6166666666666667,0.5344,100,0.5,,,,,,
text_delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,13,redundancy_cumulative_exponence,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.88,0.88,0.8846153846153846,0.9576,100,0.5,0.62,0.62,0.6666666666666666,0.5396,100,0.5,0.9204386517617218,0.9862655157342658,1000.0,0.41142007026789634,0.6696185992133901,1000.0
text_delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,13,redundancy_cumulative_exponence,length_punct,0.64,0.64,0.6697247706422018,0.6965875000000001,800,0.5,0.64,0.64,0.6326530612244898,0.7268,100,0.5,0.51,0.51,0.608,0.5596,100,0.5,,,,,,
text_delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,14,definiteness_and_specificity,word_tfidf,0.99625,0.9962500000000001,0.9962358845671268,0.9999,800,0.5,0.71,0.71,0.6506024096385542,0.767,100,0.5,0.73,0.73,0.773109243697479,0.7892,100,0.5,0.6610292013439992,0.855969696969697,1000.0,0.6895907364827202,0.8679649758454105,1000.0
text_delta_direction_basis_to_changed,14,definiteness_and_specificity,word_tfidf,0.66125,0.66125,0.6972067039106146,0.7527031249999999,800,0.5,0.41,0.41,0.549618320610687,0.33579999999999993,100,0.5,0.54,0.54,0.5740740740740741,0.5860000000000001,100,0.5,,,,,,
text_sentence_basis_changed,14,definiteness_and_specificity,char_tfidf,0.96125,0.96125,0.959792477302205,0.9981875,800,0.5,0.68,0.6799999999999999,0.7090909090909091,0.7615999999999999,100,0.5,0.73,0.73,0.7804878048780488,0.848,100,0.5,,,,,,
text_delta_direction_basis_to_changed,14,definiteness_and_specificity,char_tfidf,0.65875,0.65875,0.6814469078179697,0.7498718749999999,800,0.5,0.5,0.5,0.5192307692307693,0.5924,100,0.5,0.54,0.54,0.6229508196721312,0.6386000000000001,100,0.5,0.4829206699674384,0.6990271563170724,1000.0,0.5235342229228098,0.7449088300092764,1000.0
text_sentence_basis_changed,14,definiteness_and_specificity,length_punct,0.5425,0.5425,0.5425,0.547315625,800,0.5,0.54,0.54,0.5306122448979592,0.5994,100,0.5,0.67,0.6699999999999999,0.717948717948718,0.7856,100,0.5,,,,,,
text_delta_direction_basis_to_changed,14,definiteness_and_specificity,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,15,number_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.51,0.51,0.6370370370370371,0.5198,100,0.5,0.51,0.51,0.6201550387596899,0.5392,100,0.5,0.411053494270194,0.6351296257070326,1000.0,0.4288529006476505,0.6533859212003792,1000.0
text_delta_direction_basis_to_changed,15,number_marking,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,15,number_marking,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.26,0.26,0.32727272727272727,0.09880000000000001,100,0.5,0.57,0.57,0.6194690265486725,0.5448,100,0.5,,,,,,
text_delta_direction_basis_to_changed,15,number_marking,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,15,number_marking,length_punct,0.68375,0.6837500000000001,0.6833541927409261,0.7526343750000001,800,0.5,0.42,0.42000000000000004,0.2564102564102564,0.3462,100,0.5,0.43,0.43,0.42424242424242425,0.3684,100,0.5,,,,,,
text_delta_direction_basis_to_changed,15,number_marking,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,16,gender_noun_class,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.83,0.8300000000000001,0.8547008547008547,0.9007999999999999,100,0.5,0.9999999999999999,1.0,1000.0,0.8378312858312859,0.9517049743357487,1000.0
text_delta_direction_basis_to_changed,16,gender_noun_class,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
text_sentence_basis_changed,16,gender_noun_class,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.99,0.99,0.9900990099009901,0.9995999999999999,100,0.5,0.83,0.8300000000000001,0.8547008547008547,0.8672,100,0.5,,,,,,
text_delta_direction_basis_to_changed,16,gender_noun_class,char_tfidf,0.9625,0.9625,0.963855421686747,0.9971875,800,0.5,0.96,0.96,0.9615384615384616,0.9968,100,0.5,0.97,0.97,0.970873786407767,0.9982,100,0.5,,,,,,
text_sentence_basis_changed,16,gender_noun_class,length_punct,0.535,0.5349999999999999,0.5338345864661654,0.5535625,800,0.5,0.52,0.52,0.5294117647058824,0.5644,100,0.5,0.53,0.53,0.6299212598425197,0.5314,100,0.5,,,,,,
text_delta_direction_basis_to_changed,16,gender_noun_class,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,17,animacy_and_humanness,word_tfidf,0.98125,0.98125,0.9809402795425667,0.99938125,800,0.5,0.55,0.55,0.34782608695652173,0.6065999999999999,100,0.5,0.54,0.54,0.5490196078431373,0.552,100,0.5,,,,,,
text_delta_direction_basis_to_changed,17,animacy_and_humanness,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,17,animacy_and_humanness,char_tfidf,0.87125,0.8712500000000001,0.8667529107373868,0.9596625,800,0.5,0.52,0.52,0.5636363636363636,0.5156,100,0.5,0.64,0.64,0.6896551724137931,0.6584,100,0.5,,,,,,
text_delta_direction_basis_to_changed,17,animacy_and_humanness,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,17,animacy_and_humanness,length_punct,0.535,0.535,0.5255102040816326,0.55716875,800,0.5,0.62,0.62,0.6122448979591837,0.6448,100,0.5,0.5,0.5,0.6376811594202898,0.5434000000000001,100,0.5,0.538058677134647,0.7513155262104841,1000.0,0.424320399904302,0.6500727279548183,1000.0
text_delta_direction_basis_to_changed,17,animacy_and_humanness,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,18,person_marking_and_person_hierarchy,word_tfidf,0.835,0.835,0.8272251308900523,0.91578125,800,0.5,0.72,0.72,0.7407407407407407,0.7624,100,0.5,0.66,0.6599999999999999,0.711864406779661,0.7642,100,0.5,0.6618319700923323,0.8526638120333773,1000.0,0.6694191113169748,0.8521271850233362,1000.0
